,2018,SDA07AMA1218R,DDA07AMA1218R,CDA07AMA1218R,CDB07AMA1218R,CDH07AMA1218R,CDW07AMA1218R,CDI07AMA1218R,CD307AMA1218R,CD407AMA1218R,"CD207AMA1218R
:unselected:",CDS07AMA1218R,"CNS07AMA1218R
:unselected:","CNC07AMA1218R
:unselected:",CNM07AMA1218R,CDE07AMA1218R,CD007AMA1218R,
At Masters Grade Level,2019,SDA07AMA1319R,DDA07AMA1319R,CDA07AMA1319R,CDB07AMA1319R,CDH07AMA1319R,CDW07AMA1319R,CDI07AMA1319R,CD307AMA1319R,CD407AMA1319R,"CD207AMA1319R
:unselected:","CDS07AMA1319R
:unselected:","CNS07AMA1319R
:unselected:","CNC07AMA1319R
:unselected:",CNM07AMA1319R,CDE07AMA1319R,CD007AMA1319R,
,2018,SDA07AMA1318R,DDA07AMA1318R,CDA07AMA1318R,CDB07AMA1318R,CDH07AMA1318R,CDW07AMA1318R,CDI07AMA1318R,CD307AMA1318R,CD407AMA1318R,CD207AMA1318R,CDS07AMA1318R,"CNS07AMA1318R
:unselected:","CNC07AMA1318R
:unselected:",CNM07AMA1318R,CDE07AMA1318R,CD007AMA1318R,
Grade 7 Writing,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA07AWR1S19R,DDA07AWR1S19R,CDA07AWR1S19R,CDB07AWR1S19R,CDH07AWR1S19R,CDW07AWR1S19R,CDI07AWR1S19R,CD307AWR1S19R,CD407AWR1S19R,CD207AWR1S19R,CDS07AWR1S19R,CNS07AWR1S19R,CNC07AWR1S19R,CNM07AWR1S19R,CDE07AWR1S19R,CD007AWR1S19R,
,2018,SDA07AWR1S18R,DDA07AWR1S18R,CDA07AWR1S18R,CDB07AWR1S18R,CDH07AWR1S18R,CDW07AWR1S18R,CDI07AWR1S18R,CD307AWR1S18R,CD407AWR1S18R,CD207AWR1S18R,CDS07AWR1S18R,"CNS07AWR1S18R
:unselected:","CNC07AWR1S18R
:unselected:",CNM07AWR1S18R,CDE07AWR1S18R,CD007AWR1S18R,
At Meets Grade Level or Above,2019,SDA07AWR1219R,DDA07AWR1219R,CDA07AWR1219R,CDB07AWR1219R,CDH07AWR1219R,CDW07AWR1219R,CDI07AWR1219R,CD307AWR1219R,CD407AWR1219R,CD207AWR1219R,CDS07AWR1219R,"CNS07AWR1219R
:unselected:","CNC07AWR1219R
:unselected:",CNM07AWR1219R,CDE07AWR1219R,CD007AWR1219R,
,2018,SDA07AWR1218R,DDA07AWR1218R,CDA07AWR1218R,CDB07AWR1218R,CDH07AWR1218R,CDW07AWR1218R,CDI07AWR1218R,CD307AWR1218R,CD407AWR1218R,CD207AWR1218R,CDS07AWR1218R,CNS07AWR1218R,CNC07AWR1218R,CNM07AWR1218R,CDE07AWR1218R,CD007AWR1218R,
At Masters Grade Level,2019,SDA07AWR1319R,DDA07AWR1319R,CDA07AWR1319R,CDB07AWR1319R,CDH07AWR1319R,CDW07AWR1319R,CDI07AWR1319R,CD307AWR1319R,CD407AWR1319R,CD207AWR1319R,CDS07AWR1319R,CNS07AWR1319R,CNC07AWR1319R,CNM07AWR1319R,CDE07AWR1319R,CD007AWR1319R,
,2018,SDA07AWR1318R,DDA07AWR1318R,CDA07AWR1318R,CDB07AWR1318R,CDH07AWR1318R,CDW07AWR1318R,CDI07AWR1318R,CD307AWR1318R,CD407AWR1318R,CD207AWR1318R,CDS07AWR1318R,"CNS07AWR1318R
:unselected:",CNC07AWR1318R,CNM07AWR1318R,CDE07AWR1318R,CD007AWR1318R,
Grade 8 Reading^,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA08ARE1S19R,DDA08ARE1S19R,CDA08ARE1S19R,CDB08ARE1S19R,CDH08ARE1S19R,CDW08ARE1S19R,CDI08ARE1S19R,CD308ARE1S19R,CD408ARE1S19R,CD208ARE1S19R,CDS08ARE1S19R,"CNS08ARE1S19R
:unselected:",CNC08ARE1S19R,CNM08ARE1S19R,CDE08ARE1S19R,CD008ARE1S19R,
At Meets Grade Level or Above,2018 2019,SDA08ARE1S18R SDA08ARE1219R,DDA08ARE1S18R DDA08ARE1219R,CDA08ARE1S18R CDA08ARE1219R,CDB08ARE1S18R CDB08ARE1219R,CDH08ARE1S18R CDH08ARE1219R,CDW08ARE1S18R CDW08ARE1219R,CDI08ARE1S18R CDI08ARE1219R,CD308ARE1S18R CD308ARE1219R,CD408ARE1S18R CD408ARE1219R,CD208ARE1S18R CD208ARE1219R,CDS08ARE1S18R CDS08ARE1219R,"CNS08ARE1S18R CNS08ARE1219R
:unselected: :unselected:",CNC08ARE1S18R CNC08ARE1219R,CNM08ARE1S18R CNM08ARE1219R,CDE08ARE1S18R CDE08ARE1219R,CD008ARE1S18R CD008ARE1219R,
,2018,SDA08ARE1218R,DDA08ARE1218R,CDA08ARE1218R,CDB08ARE1218R,CDH08ARE1218R,CDW08ARE1218R,CDI08ARE1218R,CD308ARE1218R,CD408ARE1218R,CD208ARE1218R,CDS08ARE1218R,"CNS08ARE1218R
:unselected:",CNC08ARE1218R,CNM08ARE1218R,CDE08ARE1218R,CD008ARE1218R,
At Masters Grade Level,2019,SDA08ARE1319R,DDA08ARE1319R,CDA08ARE1319R,CDB08ARE1319R,CDH08ARE1319R,CDW08ARE1319R,CDI08ARE1319R,CD308ARE1319R,CD408ARE1319R,CD208ARE1319R,CDS08ARE1319R,CNS08ARE1319R,CNC08ARE1319R,CNM08ARE1319R,CDE08ARE1319R,CD008ARE1319R,
,2018,SDA08ARE1318R,DDA08ARE1318R,CDA08ARE1318R,CDB08ARE1318R,CDH08ARE1318R,CDW08ARE1318R,CDI08ARE1318R,CD308ARE1318R,CD408ARE1318R,CD208ARE1318R,CDS08ARE1318R,"CNS08ARE1318R
:unselected:","CNC08ARE1318R
:unselected:",CNM08ARE1318R,CDE08ARE1318R,CD008ARE1318R,
Grade 8 Mathematics^,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA08AMA1S19R,DDA08AMA1S19R,CDA08AMA1S19R,CDB08AMA1S19R,CDH08AMA1S19R,CDW08AMA1S19R,CDI08AMA1S19R,CD308AMA1S19R,CD408AMA1S19R,CD208AMA1S19R,CDS08AMA1S19R,CNS08AMA1S19R,CNC08AMA1S19R,CNM08AMA1S19R,CDE08AMA1S19R,CD008AMA1S19R,
,2018,SDA08AMA1S18R,DDA08AMA1S18R,CDA08AMA1S18R,CDB08AMA1S18R,CDH08AMA1S18R,CDW08AMA1S18R,CDI08AMA1S18R,CD308AMA1S18R,CD408AMA1S18R,CD208AMA1S18R,CDS08AMA1S18R,CNS08AMA1S18R,CNC08AMA1S18R,CNM08AMA1S18R,CDE08AMA1S18R,CD008AMA1S18R,
At Meets Grade Level or Above,2019,SDA08AMA1219R,DDA08AMA1219R,CDA08AMA1219R,CDB08AMA1219R,CDH08AMA1219R,CDW08AMA1219R,CDI08AMA1219R,CD308AMA1219R,CD408AMA1219R,CD208AMA1219R,CDS08AMA1219R,CNS08AMA1219R,CNC08AMA1219R,CNM08AMA1219R,CDE08AMA1219R,CD008AMA1219R,
,2018,SDA08AMA1218R,DDA08AMA1218R,CDA08AMA1218R,CDB08AMA1218R,CDH08AMA1218R,CDW08AMA1218R,CDI08AMA1218R,CD308AMA1218R,CD408AMA1218R,CD208AMA1218R,CDS08AMA1218R,"CNS08AMA1218R
:unselected:",CNC08AMA1218R,CNM08AMA1218R,CDE08AMA1218R,CD008AMA1218R,
At Masters Grade Level,2019,SDA08AMA1319R,DDA08AMA1319R,CDA08AMA1319R,CDB08AMA1319R,CDH08AMA1319R,CDW08AMA1319R,CDI08AMA1319R,CD308AMA1319R,CD408AMA1319R,CD208AMA1319R,CDS08AMA1319R,"CNS08AMA1319R
:unselected:",CNC08AMA1319R,CNM08AMA1319R,CDE08AMA1319R,CD008AMA1319R,
,2018,SDA08AMA1318R,DDA08AMA1318R,CDA08AMA1318R,CDB08AMA1318R,CDH08AMA1318R,CDW08AMA1318R,CDI08AMA1318R,CD308AMA1318R,CD408AMA1318R,CD208AMA1318R,CDS08AMA1318R,"CNS08AMA1318R
:unselected:",CNC08AMA1318R,CNM08AMA1318R,CDE08AMA1318R,CD008AMA1318R,
Grade 8 Science,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA08ASC1S19R,DDA08ASC1S19R,CDA08ASC1S19R,CDB08ASC1S19R,CDH08ASC1S19R,CDW08ASC1S19R,CDI08ASC1S19R,CD308ASC1S19R,CD408ASC1S19R,CD208ASC1S19R,CDS08ASC1S19R,"CNS08ASC1S19R
:unselected:",CNC08ASC1S19R,CNM08ASC1S19R,CDE08ASC1S19R,CD008ASC1S19R,
,2018,SDA08ASC1S18R,DDA08ASC1S18R,CDA08ASC1S18R,CDB08ASC1S18R,CDH08ASC1S18R,CDW08ASC1S18R,CDI08ASC1S18R,CD308ASC1S18R,CD408ASC1S18R,CD208ASC1S18R,CDS08ASC1S18R,"CNS08ASC1S18R
:unselected:",CNC08ASC1S18R,CNM08ASC1S18R,CDE08ASC1S18R,CD008ASC1S18R,
At Meets Grade Level or Above,2019,SDA08ASC1219R,DDA08ASC1219R,CDA08ASC1219R,CDB08ASC1219R,CDH08ASC1219R,CDW08ASC1219R,CDI08ASC1219R,CD308ASC1219R,CD408ASC1219R,CD208ASC1219R,CDS08ASC1219R,"CNS08ASC1219R
:unselected:",CNC08ASC1219R,CNM08ASC1219R,CDE08ASC1219R,CD008ASC1219R,
,2018,SDA08ASC1218R,DDA08ASC1218R,CDA08ASC1218R,CDB08ASC1218R,CDH08ASC1218R,CDW08ASC1218R,CDI08ASC1218R,CD308ASC1218R,CD408ASC1218R,CD208ASC1218R,CDS08ASC1218R,"CNS08ASC1218R
:unselected:",CNC08ASC1218R,CNM08ASC1218R,CDE08ASC1218R,CD008ASC1218R,
At Masters Grade Level,2019,SDA08ASC1319R,DDA08ASC1319R,CDA08ASC1319R,CDB08ASC1319R,CDH08ASC1319R,CDW08ASC1319R,CDI08ASC1319R,CD308ASC1319R,CD408ASC1319R,CD208ASC1319R,CDS08ASC1319R,CNS08ASC1319R,CNC08ASC1319R,CNM08ASC1319R,CDE08ASC1319R,CD008ASC1319R,
,2018,SDA08ASC1318R,DDA08ASC1318R,CDA08ASC1318R,CDB08ASC1318R,CDH08ASC1318R,CDW08ASC1318R,CDI08ASC1318R,CD308ASC1318R,CD408ASC1318R,CD208ASC1318R,CDS08ASC1318R,"CNS08ASC1318R
:unselected:","CNC08ASC1318R
:unselected:",CNM08ASC1318R,CDE08ASC1318R,CD008ASC1318R,
Grade 8 Social Studies,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA08ASS1S19R,DDA08ASS1S19R,CDA08ASS1S19R,CDB08ASS1S19R,CDH08ASS1S19R,CDW08ASS1S19R,CDI08ASS1S19R,CD308ASS1S19R,CD408ASS1S19R,"CD208ASS1S19R
:unselected:",CDS08ASS1S19R,"CNS08ASS1S19R
:unselected:","CNC08ASS1S19R
:unselected:",CNM08ASS1S19R,CDE08ASS1S19R,CD008ASS1S19R,
,2018,SDA08ASS1S18R,DDA08ASS1S18R,CDA08ASS1S18R,CDB08ASS1S18R,CDH08ASS1S18R,CDW08ASS1S18R,CDI08ASS1S18R,CD308ASS1S18R,CD408ASS1S18R,CD208ASS1S18R,CDS08ASS1S18R,"CNS08ASS1S18R
:unselected:","CNC08ASS1S18R
:unselected:",CNM08ASS1S18R,CDE08ASS1S18R,CD008ASS1S18R,
At Meets Grade Level or Above,2019,SDA08ASS1219R,DDA08ASS1219R,CDA08ASS1219R,CDB08ASS1219R,CDH08ASS1219R,CDW08ASS1219R,CDI08ASS1219R,CD308ASS1219R,CD408ASS1219R,CD208ASS1219R,CDS08ASS1219R,"CNS08ASS1219R
:unselected:","CNC08ASS1219R
:unselected:",CNM08ASS1219R,CDE08ASS1219R,CD008ASS1219R,
,2018,SDA08ASS1218R,DDA08ASS1218R,CDA08ASS1218R,CDB08ASS1218R,CDH08ASS1218R,CDW08ASS1218R,CDI08ASS1218R,CD308ASS1218R,CD408ASS1218R,CD208ASS1218R,CDS08ASS1218R,"CNS08ASS1218R
:unselected:","CNC08ASS1218R
:unselected:",CNM08ASS1218R,CDE08ASS1218R,CD008ASS1218R,
At Masters Grade Level,2019,SDA08ASS1319R,DDA08ASS1319R,CDA08ASS1319R,CDB08ASS1319R,CDH08ASS1319R,CDW08ASS1319R,CDI08ASS1319R,CD308ASS1319R,CD408ASS1319R,CD208ASS1319R,CDS08ASS1319R,"CNS08ASS1319R
:unselected:","CNC08ASS1319R
:unselected:","CNM08ASS1319R
:unselected:",CDE08ASS1319R,CD008ASS1319R,
,2018,SDA08ASS1318R,DDA08ASS1318R,CDA08ASS1318R,CDB08ASS1318R,CDH08ASS1318R,CDW08ASS1318R,CDI08ASS1318R,CD308ASS1318R,CD408ASS1318R,CD208ASS1318R,CDS08ASS1318R,"CNS08ASS1318R
:unselected:","CNC08ASS1318R
:unselected:",CNM08ASS1318R,CDE08ASS1318R,CD008ASS1318R,
End of Course English I,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AR11S19R,DDA00AR11S19R,CDA00AR11S19R,CDB00AR11S19R,CDH00AR11S19R,CDW00AR11S19R,CDI00AR11S19R,CD300AR11S19R,CD400AR11S19R,CD200AR11S19R,CDS00AR11S19R,CNS00AR11S19R,"CNC00AR11S19R
:unselected:",CNM00AR11S19R,CDE00AR11S19R,CD000AR11S19R,
,2018,SDA00AR11S18R,DDA00AR11S18R,CDA00AR11S18R,CDB00AR11S18R,CDH00AR11S18R,CDW00AR11S18R,CDI00AR11S18R,CD300AR11S18R,CD400AR11S18R,CD200AR11S18R,"CDS00AR11S18R
:unselected:","CNS00AR11S18R
:unselected:","CNC00AR11S18R
:unselected:",CNM00AR11S18R,CDE00AR11S18R,CD000AR11S18R,
At Meets Grade Level or Above,2019,SDA00AR11219R,DDA00AR11219R,CDA00AR11219R,CDB00AR11219R,CDH00AR11219R,CDW00AR11219R,CDI00AR11219R,CD300AR11219R,CD400AR11219R,CD200AR11219R,CDS00AR11219R,"CNS00AR11219R
:unselected:",CNC00AR11219R,CNM00AR11219R,CDE00AR11219R,CD000AR11219R,
,2018,SDA00AR11218R,DDA00AR11218R,CDA00AR11218R,CDB00AR11218R,CDH00AR11218R,CDW00AR11218R,CDI00AR11218R,CD300AR11218R,"CD400AR11218R
:unselected:",CD200AR11218R,CDS00AR11218R,"CNS00AR11218R
:unselected:","CNC00AR11218R
:unselected:",CNM00AR11218R,CDE00AR11218R,CD000AR11218R,
At Masters Grade Level,2019,SDA00AR11319R,DDA00AR11319R,CDA00AR11319R,CDB00AR11319R,CDH00AR11319R,CDW00AR11319R,CDI00AR11319R,CD300AR11319R,CD400AR11319R,CD200AR11319R,CDS00AR11319R,"CNS00AR11319R
:unselected:","CNC00AR11319R
:unselected:",CNM00AR11319R,CDE00AR11319R,CD000AR11319R,
,2018,SDA00AR11318R,DDA00AR11318R,CDA00AR11318R,CDB00AR11318R,CDH00AR11318R,CDW00AR11318R,CDI00AR11318R,CD300AR11318R,CD400AR11318R,CD200AR11318R,CDS00AR11318R,"CNS00AR11318R
:unselected:","CNC00AR11318R
:unselected:",CNM00AR11318R,CDE00AR11318R,CD000AR11318R,
End of Course English II,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AR21S19R,DDA00AR21S19R,CDA00AR21S19R,CDB00AR21S19R,CDH00AR21S19R,CDW00AR21S19R,CDI00AR21S19R,CD300AR21S19R,CD400AR21S19R,CD200AR21S19R,CDS00AR21S19R,"CNS00AR21S19R
:unselected:","CNC00AR21S19R
:unselected:",CNM00AR21S19R,CDE00AR21S19R,CD000AR21S19R,
,2018,SDA00AR21S18R,DDA00AR21S18R,CDA00AR21S18R,CDB00AR21S18R,CDH00AR21S18R,CDW00AR21S18R,CDI00AR21S18R,CD300AR21S18R,CD400AR21S18R,CD200AR21S18R,CDS00AR21S18R,"CNS00AR21S18R
:unselected:","CNC00AR21S18R
:unselected:",CNM00AR21S18R,CDE00AR21S18R,CD000AR21S18R,
At Meets Grade Level or Above,2019,SDA00AR21219R,DDA00AR21219R,CDA00AR21219R,CDB00AR21219R,CDH00AR21219R,CDW00AR21219R,CDI00AR21219R,CD300AR21219R,CD400AR21219R,CD200AR21219R,CDS00AR21219R,"CNS00AR21219R
:unselected:","CNC00AR21219R
:unselected:",CNM00AR21219R,CDE00AR21219R,CD000AR21219R,
,2018,SDA00AR21218R,DDA00AR21218R,CDA00AR21218R,CDB00AR21218R,CDH00AR21218R,CDW00AR21218R,CDI00AR21218R,CD300AR21218R,CD400AR21218R,CD200AR21218R,CDS00AR21218R,"CNS00AR21218R
:unselected:","CNC00AR21218R
:unselected:",CNM00AR21218R,CDE00AR21218R,CD000AR21218R,
At Masters Grade Level,2019,SDA00AR21319R,DDA00AR21319R,CDA00AR21319R,CDB00AR21319R,CDH00AR21319R,CDW00AR21319R,CDI00AR21319R,CD300AR21319R,CD400AR21319R,CD200AR21319R,CDS00AR21319R,CNS00AR21319R,"CNC00AR21319R
:unselected:",CNM00AR21319R,CDE00AR21319R,CD000AR21319R,
,2018,SDA00AR21318R,DDA00AR21318R,CDA00AR21318R,CDB00AR21318R,CDH00AR21318R,CDW00AR21318R,CDI00AR21318R,CD300AR21318R,CD400AR21318R,CD200AR21318R,CDS00AR21318R,CNS00AR21318R,"CNC00AR21318R
:unselected:",CNM00AR21318R,CDE00AR21318R,CD000AR21318R,
,,,,,,,,,,,,,,,,,,
,,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EL (Current & Monitored),
End of Course Algebra I,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AA11S19R,DDA00AA11S19R,CDA00AA11S19R,CDB00AA11S19R,CDH00AA11S19R,CDW00AA11S19R,CDI00AA11S19R,CD300AA11S19R,CD400AA11S19R,CD200AA11S19R,CDS00AA11S19R,CNS00AA11S19R,CNC00AA11S19R,CNM00AA11S19R,CDE00AA11S19R,CD000AA11S19R,
,2018,SDA00AA11S18R,DDA00AA11S18R,CDA00AA11S18R,CDB00AA11S18R,CDH00AA11S18R,CDW00AA11S18R,CDI00AA11S18R,CD300AA11S18R,CD400AA11S18R,CD200AA11S18R,CDS00AA11S18R,CNS00AA11S18R,CNC00AA11S18R,CNM00AA11S18R,CDE00AA11S18R,CD000AA11S18R,
At Meets Grade Level or Above,2019,SDA00AA11219R,DDA00AA11219R,"CDA00AA11219R
:unselected:","CDB00AA11219R
:unselected:","CDH00AA11219R
:unselected:",CDW00AA11219R,CDI00AA11219R,CD300AA11219R,CD400AA11219R,CD200AA11219R,CDS00AA11219R,CNS00AA11219R,CNC00AA11219R,CNM00AA11219R,CDE00AA11219R,CD000AA11219R,
,2018,SDA00AA11218R,DDA00AA11218R,CDA00AA11218R,"CDB00AA11218R
:unselected:",CDH00AA11218R,CDW00AA11218R,CDI00AA11218R,CD300AA11218R,CD400AA11218R,CD200AA11218R,CDS00AA11218R,CNS00AA11218R,CNC00AA11218R,CNM00AA11218R,CDE00AA11218R,CD000AA11218R,
At Masters Grade Level,2019,SDA00AA11319R,DDA00AA11319R,CDA00AA11319R,CDB00AA11319R,CDH00AA11319R,CDW00AA11319R,CDI00AA11319R,CD300AA11319R,CD400AA11319R,CD200AA11319R,CDS00AA11319R,CNS00AA11319R,CNC00AA11319R,CNM00AA11319R,CDE00AA11319R,CD000AA11319R,
,2018,SDA00AA11318R,DDA00AA11318R,CDA00AA11318R,CDB00AA11318R,CDH00AA11318R,CDW00AA11318R,CDI00AA11318R,CD300AA11318R,CD400AA11318R,CD200AA11318R,CDS00AA11318R,CNS00AA11318R,"CNC00AA11318R
:unselected:",CNM00AA11318R,CDE00AA11318R,CD000AA11318R,
End of Course Biology,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00ABI1S19R,DDA00ABI1S19R,CDA00ABI1S19R,"CDB00ABI1S19R
:unselected:",CDH00ABI1S19R,CDW00ABI1S19R,CDI00ABI1S19R,CD300ABI1S19R,CD400ABI1S19R,CD200ABI1S19R,CDS00ABI1S19R,CNS00ABI1S19R,"CNC00ABI1S19R
:unselected:",CNM00ABI1S19R,CDE00ABI1S19R,CD000ABI1S19R,
,2018,SDA00ABI1S18R,DDA00ABI1S18R,CDA00ABI1S18R,CDB00ABI1S18R,CDH00ABI1S18R,CDW00ABI1S18R,CDI00ABI1S18R,CD300ABI1S18R,CD400ABI1S18R,CD200ABI1S18R,CDS00ABI1S18R,"CNS00ABI1S18R
:unselected:",CNC00ABI1S18R,CNM00ABI1S18R,CDE00ABI1S18R,CD000ABI1S18R,
At Meets Grade Level or Above,2019,SDA00ABI1219R,DDA00ABI1219R,CDA00ABI1219R,CDB00ABI1219R,CDH00ABI1219R,CDW00ABI1219R,CDI00ABI1219R,CD300ABI1219R,CD400ABI1219R,CD200ABI1219R,CDS00ABI1219R,CNS00ABI1219R,CNC00ABI1219R,CNM00ABI1219R,CDE00ABI1219R,CD000ABI1219R,
,2018,SDA00ABI1218R,DDA00ABI1218R,CDA00ABI1218R,CDB00ABI1218R,CDH00ABI1218R,CDW00ABI1218R,CDI00ABI1218R,CD300ABI1218R,CD400ABI1218R,CD200ABI1218R,CDS00ABI1218R,CNS00ABI1218R,CNC00ABI1218R,CNM00ABI1218R,CDE00ABI1218R,CD000ABI1218R,
At Masters Grade Level,2019,SDA00ABI1319R,DDA00ABI1319R,CDA00ABI1319R,CDB00ABI1319R,CDH00ABI1319R,CDW00ABI1319R,CDI00ABI1319R,CD300ABI1319R,CD400ABI1319R,CD200ABI1319R,CDS00ABI1319R,CNS00ABI1319R,CNC00ABI1319R,CNM00ABI1319R,CDE00ABI1319R,CD000ABI1319R,
,2018,SDA00ABI1318R,DDA00ABI1318R,CDA00ABI1318R,CDB00ABI1318R,CDH00ABI1318R,CDW00ABI1318R,CDI00ABI1318R,CD300ABI1318R,CD400ABI1318R,CD200ABI1318R,CDS00ABI1318R,CNS00ABI1318R,CNC00ABI1318R,CNM00ABI1318R,CDE00ABI1318R,CD000ABI1318R,
End of Course U.S. History,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AUS1S19R,DDA00AUS1S19R,CDA00AUS1S19R,CDB00AUS1S19R,CDH00AUS1S19R,CDW00AUS1S19R,CDI00AUS1S19R,CD300AUS1S19R,CD400AUS1S19R,CD200AUS1S19R,CDS00AUS1S19R,"CNS00AUS1S19R
:unselected:",CNC00AUS1S19R,CNM00AUS1S19R,CDE00AUS1S19R,CD000AUS1S19R,
,2018,SDA00AUS1S18R,DDA00AUS1S18R,CDA00AUS1S18R,CDB00AUS1S18R,CDH00AUS1S18R,CDW00AUS1S18R,CDI00AUS1S18R,CD300AUS1S18R,CD400AUS1S18R,CD200AUS1S18R,CDS00AUS1S18R,"CNS00AUS1S18R
:unselected:",CNC00AUS1S18R,CNM00AUS1S18R,CDE00AUS1S18R,CD000AUS1S18R,
At Meets Grade Level or Above,2019,SDA00AUS1219R,DDA00AUS1219R,CDA00AUS1219R,CDB00AUS1219R,CDH00AUS1219R,CDW00AUS1219R,CDI00AUS1219R,CD300AUS1219R,CD400AUS1219R,CD200AUS1219R,CDS00AUS1219R,"CNS00AUS1219R
:unselected:","CNC00AUS1219R
:unselected:",CNM00AUS1219R,CDE00AUS1219R,CD000AUS1219R,
,2018,SDA00AUS1218R,DDA00AUS1218R,CDA00AUS1218R,CDB00AUS1218R,CDH00AUS1218R,CDW00AUS1218R,CDI00AUS1218R,CD300AUS1218R,CD400AUS1218R,CD200AUS1218R,CDS00AUS1218R,CNS00AUS1218R,CNC00AUS1218R,CNM00AUS1218R,CDE00AUS1218R,CD000AUS1218R,
At Masters Grade Level,2019,SDA00AUS1319R,DDA00AUS1319R,CDA00AUS1319R,CDB00AUS1319R,CDH00AUS1319R,CDW00AUS1319R,CDI00AUS1319R,CD300AUS1319R,CD400AUS1319R,CD200AUS1319R,CDS00AUS1319R,"CNS00AUS1319R
:unselected:",CNC00AUS1319R,CNM00AUS1319R,CDE00AUS1319R,CD000AUS1319R,
,2018,SDA00AUS1318R,DDA00AUS1318R,CDA00AUS1318R,CDB00AUS1318R,CDH00AUS1318R,CDW00AUS1318R,CDI00AUS1318R,CD300AUS1318R,CD400AUS1318R,CD200AUS1318R,CDS00AUS1318R,CNS00AUS1318R,CNC00AUS1318R,CNM00AUS1318R,CDE00AUS1318R,CD000AUS1318R,
All Grades All Subjects At Approaches Grade Level or Above,2019,SDA00A001S19R,DDA00A001S19R,CDA00A001S19R,CDB00A001S19R,CDH00A001S19R,CDW00A001S19R,CDI00A001S19R,CD300A001S19R,CD400A001S19R,CD200A001S19R,CDS00A001S19R,CNS00A001S19R,"CNC00A001S19R
:unselected:",CNM00A001S19R,CDE00A001S19R,CD000A001S19R,
,2018,SDA00A001S18R,DDA00A001S18R,CDA00A001S18R,CDB00A001S18R,CDH00A001S18R,CDW00A001S18R,CDI00A001S18R,CD300A001S18R,CD400A001S18R,CD200A001S18R,CDS00A001S18R,CNS00A001S18R,CNC00A001S18R,CNM00A001S18R,CDE00A001S18R,CD000A001S18R,
At Meets Grade Level or Above,2019,SDA00A001219R,DDA00A001219R,CDA00A001219R,CDB00A001219R,CDH00A001219R,CDW00A001219R,CDI00A001219R,CD300A001219R,CD400A001219R,CD200A001219R,CDS00A001219R,"CNS00A001219R
:unselected:","CNC00A001219R
:unselected:",CNM00A001219R,CDE00A001219R,CD000A001219R,
,2018,SDA00A001218R,DDA00A001218R,CDA00A001218R,CDB00A001218R,CDH00A001218R,CDW00A001218R,CDI00A001218R,CD300A001218R,CD400A001218R,CD200A001218R,CDS00A001218R,CNS00A001218R,CNC00A001218R,CNM00A001218R,CDE00A001218R,CD000A001218R,
At Masters Grade Level,2019,SDA00A001319R,DDA00A001319R,CDA00A001319R,CDB00A001319R,CDH00A001319R,CDW00A001319R,CDI00A001319R,CD300A001319R,CD400A001319R,CD200A001319R,CDS00A001319R,CNS00A001319R,CNC00A001319R,CNM00A001319R,CDE00A001319R,CD000A001319R,
,2018,SDA00A001318R,DDA00A001318R,CDA00A001318R,CDB00A001318R,CDH00A001318R,CDW00A001318R,CDI00A001318R,CD300A001318R,CD400A001318R,CD200A001318R,CDS00A001318R,"CNS00A001318R
:unselected:","CNC00A001318R
:unselected:",CNM00A001318R,CDE00A001318R,CD000A001318R,
All Grades ELA/Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA00AR01S19R,DDA00AR01S19R,CDA00AR01S19R,CDB00AR01S19R,CDH00AR01S19R,CDW00AR01S19R,CDI00AR01S19R,CD300AR01S19R,CD400AR01S19R,CD200AR01S19R,CDS00AR01S19R,CNS00AR01S19R,"CNC00AR01S19R
:unselected:",CNM00AR01S19R,CDE00AR01S19R,CD000AR01S19R,
,2018,SDA00AR01S18R,DDA00AR01S18R,CDA00AR01S18R,CDB00AR01S18R,CDH00AR01S18R,CDW00AR01S18R,CDI00AR01S18R,CD300AR01S18R,CD400AR01S18R,CD200AR01S18R,CDS00AR01S18R,CNS00AR01S18R,CNC00AR01S18R,CNM00AR01S18R,CDE00AR01S18R,CD000AR01S18R,
At Meets Grade Level or Above,2019,SDA00AR01219R,DDA00AR01219R,CDA00AR01219R,CDB00AR01219R,CDH00AR01219R,CDW00AR01219R,CDI00AR01219R,CD300AR01219R,CD400AR01219R,CD200AR01219R,CDS00AR01219R,CNS00AR01219R,CNC00AR01219R,CNM00AR01219R,CDE00AR01219R,CD000AR01219R,
