,zipcode,period_end,median_ppsf,area,year,DISTRICT,District_N
148,75024,2016-12-31,139.10852713178295,2983.2822513234883,2015,43802.0,LONE STAR LANGUAGE ACADEMY
149,75024,2016-12-31,139.10852713178295,2983.2822513234883,2015,43905.0,FRISCO ISD
150,75024,2016-12-31,139.10852713178295,2983.2822513234883,2015,43910.0,PLANO ISD
169,75025,2016-12-31,129.7878416775174,2696.708686085108,2015,43905.0,FRISCO ISD
170,75025,2016-12-31,129.7878416775174,2696.708686085108,2015,43910.0,PLANO ISD
184,75028,2016-12-31,130.2592193015618,2406.7394360334624,2015,61902.0,LEWISVILLE ISD
191,75032,2016-12-31,118.99932386747804,2772.284659090909,2015,199901.0,ROCKWALL ISD
198,75033,2016-12-31,126.63821371251848,3040.156590284737,2015,43905.0,FRISCO ISD
205,75034,2016-12-31,156.96982642560698,3089.7657915794216,2015,43905.0,FRISCO ISD
206,75034,2016-12-31,156.96982642560698,3089.7657915794216,2015,61804.0,LEADERSHIP PREP SCHOOL
207,75034,2016-12-31,156.96982642560698,3089.7657915794216,2015,61902.0,LEWISVILLE ISD
208,75034,2016-12-31,156.96982642560698,3089.7657915794216,2015,61914.0,LITTLE ELM ISD
233,75035,2016-12-31,133.12809845277624,2572.710073835337,2015,43905.0,FRISCO ISD
234,75035,2016-12-31,133.12809845277624,2572.710073835337,2015,43912.0,PROSPER ISD
254,75038,2016-12-31,131.81545835829837,2162.1136363636365,2015,15835.0,GREAT HEARTS TEXAS
255,75038,2016-12-31,131.81545835829837,2162.1136363636365,2015,57912.0,IRVING ISD
268,75039,2016-12-31,159.61945031712474,2311.7483443708607,2015,57903.0,CARROLLTON-FARMERS BRANCH ISD
275,75040,2016-12-31,108.16777041942603,1487.5040816326532,2015,57909.0,GARLAND ISD
282,75041,2016-12-31,95.58823529411764,1569.2307692307693,2015,57909.0,GARLAND ISD
289,75042,2016-12-31,106.8441377552736,1541.9657405758633,2015,57909.0,GARLAND ISD
290,75042,2016-12-31,106.8441377552736,1541.9657405758633,2015,57916.0,RICHARDSON ISD
303,75043,2016-12-31,94.6593894478415,1774.256108978418,2015,57909.0,GARLAND ISD
304,75043,2016-12-31,94.6593894478415,1774.256108978418,2015,57914.0,MESQUITE ISD
317,75044,2016-12-31,115.66424322538003,1867.4742857142858,2015,57804.0,TEXANS CAN ACADEMIES
318,75044,2016-12-31,115.66424322538003,1867.4742857142858,2015,57848.0,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
319,75044,2016-12-31,115.66424322538003,1867.4742857142858,2015,57909.0,GARLAND ISD
320,75044,2016-12-31,115.66424322538003,1867.4742857142858,2015,57916.0,RICHARDSON ISD
345,75048,2016-12-31,116.19471097589516,2241.9264853977843,2015,57909.0,GARLAND ISD
354,75050,2016-12-31,94.70304975922953,1721.1694915254238,2015,57813.0,TRINITY BASIN PREPARATORY
355,75050,2016-12-31,94.70304975922953,1721.1694915254238,2015,57910.0,GRAND PRAIRIE ISD
356,75050,2016-12-31,94.70304975922953,1721.1694915254238,2015,220901.0,ARLINGTON ISD
375,75051,2016-12-31,87.22741433021808,1604.9999999999998,2015,57910.0,GRAND PRAIRIE ISD
376,75051,2016-12-31,87.22741433021808,1604.9999999999998,2015,220901.0,ARLINGTON ISD
389,75052,2016-12-31,92.24723247232473,2124.72498899956,2015,57848.0,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
390,75052,2016-12-31,92.24723247232473,2124.72498899956,2015,57910.0,GRAND PRAIRIE ISD
