,2021,SDA06AMA1S21R,DDA06AMA1S21R,CDA06AMA1S21R,CDB06AMA1S21R,CDH06AMA1S21R,CDW06AMA1S21R,CDI06AMA1S21R,CD306AMA1S21R,CD406AMA1S21R,"CD206AMA1S21R
:unselected:","CDS06AMA1S21R
:unselected:","CNS06AMA1S21R
:unselected:","CNC06AMA1S21R
:unselected:","CNM06AMA1S21R
:unselected:",CDE06AMA1S21R,"CD006AMA1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA06AMA1222R,DDA06AMA1222R,CDA06AMA1222R,CDB06AMA1222R,CDH06AMA1222R,CDW06AMA1222R,CDI06AMA1222R,CD306AMA1222R,CD406AMA1222R,"CD206AMA1222R
:unselected:","CDS06AMA1222R
:unselected:","CNS06AMA1222R
:unselected:","CNC06AMA1222R
:unselected:","CNM06AMA1222R
:unselected:","CDE06AMA1222R
:unselected:","CD006AMA1222R
:unselected:",
,2021,SDA06AMA1221R,DDA06AMA1221R,CDA06AMA1221R,CDB06AMA1221R,CDH06AMA1221R,CDW06AMA1221R,CDI06AMA1221R,CD306AMA1221R,CD406AMA1221R,"CD206AMA1221R
:unselected:","CDS06AMA1221R
:unselected:","CNS06AMA1221R
:unselected:","CNC06AMA1221R
:unselected:","CNM06AMA1221R
:unselected:","CDE06AMA1221R
:unselected:","CD006AMA1221R
:unselected:",
At Masters Grade Level,2022,SDA06AMA1322R,DDA06AMA1322R,CDA06AMA1322R,CDB06AMA1322R,CDH06AMA1322R,CDW06AMA1322R,CDI06AMA1322R,CD306AMA1322R,CD406AMA1322R,"CD206AMA1322R
:unselected:","CDS06AMA1322R
:unselected:","CNS06AMA1322R
:unselected:","CNC06AMA1322R
:unselected:","CNM06AMA1322R
:unselected:","CDE06AMA1322R
:unselected:","CD006AMA1322R
:unselected:",
,2021,SDA06AMA1321R,DDA06AMA1321R,CDA06AMA1321R,CDB06AMA1321R,CDH06AMA1321R,CDW06AMA1321R,CDI06AMA1321R,CD306AMA1321R,CD406AMA1321R,"CD206AMA1321R
:unselected:","CDS06AMA1321R
:unselected:","CNS06AMA1321R
:unselected:","CNC06AMA1321R
:unselected:","CNM06AMA1321R
:unselected:","CDE06AMA1321R
:unselected:","CD006AMA1321R
:unselected:",
,,,,,,,,,,,,,,,,,,
,School Year,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More,Special Ed,Special Ed,Continu- ously,Non-Continu- ously,Econ,EB/EL (Current &,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Races,(Current),(Former),Enrolled,Enrolled,Disadv,Monitored),
Grade 7 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA07ARE1S22R,DDA07ARE1S22R,CDA07ARE1S22R,CDB07ARE1S22R,CDH07ARE1S22R,CDW07ARE1S22R,CDI07ARE1S22R,CD307ARE1S22R,CD407ARE1S22R,CD207ARE1S22R,"CDS07ARE1S22R
:unselected:","CNS07ARE1S22R
:unselected:","CNC07ARE1S22R
:unselected:","CNM07ARE1S22R
:unselected:","CDE07ARE1S22R
:unselected:","CD007ARE1S22R
:unselected:",
,2021,SDA07ARE1S21R,DDA07ARE1S21R,CDA07ARE1S21R,CDB07ARE1S21R,CDH07ARE1S21R,CDW07ARE1S21R,CDI07ARE1S21R,CD307ARE1S21R,CD407ARE1S21R,CD207ARE1S21R,"CDS07ARE1S21R
:unselected:","CNS07ARE1S21R
:unselected:","CNC07ARE1S21R
:unselected:","CNM07ARE1S21R
:unselected:","CDE07ARE1S21R
:unselected:","CD007ARE1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA07ARE1222R,DDA07ARE1222R,CDA07ARE1222R,CDB07ARE1222R,CDH07ARE1222R,CDW07ARE1222R,CDI07ARE1222R,CD307ARE1222R,CD407ARE1222R,CD207ARE1222R,"CDS07ARE1222R
:unselected:","CNS07ARE1222R
:unselected:","CNC07ARE1222R
:unselected:","CNM07ARE1222R
:unselected:","CDE07ARE1222R
:unselected:",CD007ARE1222R,
,2021,SDA07ARE1221R,DDA07ARE1221R,CDA07ARE1221R,CDB07ARE1221R,CDH07ARE1221R,CDW07ARE1221R,CDI07ARE1221R,CD307ARE1221R,CD407ARE1221R,CD207ARE1221R,CDS07ARE1221R,"CNS07ARE1221R
:unselected:","CNC07ARE1221R
:unselected:","CNM07ARE1221R
:unselected:",CDE07ARE1221R,CD007ARE1221R,
