,,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
"STAAR Performance Rates by Tested Grade, Subject, and Performance Levels^ Grade 3 Reading",,,,,,,,,,,,,,,
At Masters Grade Level or Above,2018,SDA06ARE1318R,DDA06ARE1318R,CDA06ARE1318R,CDB06ARE1318R,CDH06ARE1318R,CDW06ARE1318R,CDI06ARE1318R,CD306ARE1318R,CD406ARE1318R,CD206ARE1318R,CDS06ARE1318R,CDE06ARE1318R,CDL06ARE1318R,
,2017,SDA06ARE1317R,DDA06ARE1317R,CDA06ARE1317R,CDB06ARE1317R,CDH06ARE1317R,CDW06ARE1317R,CDI06ARE1317R,CD306ARE1317R,CD406ARE1317R,CD206ARE1317R,CDS06ARE1317R,CDE06ARE1317R,CDL06ARE1317R,
,,,,,,,,,,,,,,,
,,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
Grade 6 Mathematics,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA06AMA1S18R,DDA06AMA1S18R,CDA06AMA1S18R,CDB06AMA1S18R,CDH06AMA1S18R,CDW06AMA1S18R,CDI06AMA1S18R,CD306AMA1S18R,CD406AMA1S18R,CD206AMA1S18R,CDS06AMA1S18R,CDE06AMA1S18R,CDL06AMA1S18R,
,2017,SDA06AMA1S17R,DDA06AMA1S17R,CDA06AMA1S17R,CDB06AMA1S17R,CDH06AMA1S17R,CDW06AMA1S17R,CDI06AMA1S17R,CD306AMA1S17R,CD406AMA1S17R,CD206AMA1S17R,CDS06AMA1S17R,CDE06AMA1S17R,CDL06AMA1S17R,
At Meets Grade Level or Above,2018,SDA06AMA1218R,DDA06AMA1218R,CDA06AMA1218R,CDB06AMA1218R,CDH06AMA1218R,CDW06AMA1218R,CDI06AMA1218R,CD306AMA1218R,CD406AMA1218R,CD206AMA1218R,CDS06AMA1218R,CDE06AMA1218R,CDL06AMA1218R,
,2017,SDA06AMA1217R,DDA06AMA1217R,CDA06AMA1217R,CDB06AMA1217R,CDH06AMA1217R,CDW06AMA1217R,CDI06AMA1217R,CD306AMA1217R,CD406AMA1217R,CD206AMA1217R,CDS06AMA1217R,CDE06AMA1217R,CDL06AMA1217R,
At Masters Grade Level or Above,2018 2017,SDA06AMA1318R SDA06AMA1317R,DDA06AMA1318R DDA06AMA1317R,CDA06AMA1318R CDA06AMA1317R,CDB06AMA1318R CDB06AMA1317R,CDH06AMA1318R CDH06AMA1317R,CDW06AMA1318R CDW06AMA1317R,CDI06AMA1318R CDI06AMA1317R,CD306AMA1318R CD306AMA1317R,CD406AMA1318R CD406AMA1317R,CD206AMA1318R CD206AMA1317R,CDS06AMA1318R CDS06AMA1317R,CDE06AMA1318R CDE06AMA1317R,CDL06AMA1318R CDL06AMA1317R,
Grade 7 Reading,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA07ARE1S18R,DDA07ARE1S18R,CDA07ARE1S18R,CDB07ARE1S18R,CDH07ARE1S18R,CDW07ARE1S18R,CDI07ARE1S18R,CD307ARE1S18R,CD407ARE1S18R,CD207ARE1S18R,CDS07ARE1S18R,CDE07ARE1S18R,CDL07ARE1S18R,
,2017,SDA07ARE1S17R,DDA07ARE1S17R,CDA07ARE1S17R,CDB07ARE1S17R,CDH07ARE1S17R,CDW07ARE1S17R,CDI07ARE1S17R,CD307ARE1S17R,CD407ARE1S17R,CD207ARE1S17R,CDS07ARE1S17R,CDE07ARE1S17R,CDL07ARE1S17R,
At Meets Grade Level or Above,2018,SDA07ARE1218R,DDA07ARE1218R,CDA07ARE1218R,CDB07ARE1218R,CDH07ARE1218R,CDW07ARE1218R,CDI07ARE1218R,CD307ARE1218R,CD407ARE1218R,CD207ARE1218R,CDS07ARE1218R,CDE07ARE1218R,CDL07ARE1218R,
,2017,SDA07ARE1217R,DDA07ARE1217R,CDA07ARE1217R,CDB07ARE1217R,CDH07ARE1217R,CDW07ARE1217R,CDI07ARE1217R,CD307ARE1217R,CD407ARE1217R,CD207ARE1217R,CDS07ARE1217R,CDE07ARE1217R,CDL07ARE1217R,
At Masters Grade Level or Above,2018 2017,SDA07ARE1318R SDA07ARE1317R,DDA07ARE1318R DDA07ARE1317R,CDA07ARE1318R CDA07ARE1317R,CDB07ARE1318R CDB07ARE1317R,CDH07ARE1318R CDH07ARE1317R,CDW07ARE1318R CDW07ARE1317R,CDI07ARE1318R CDI07ARE1317R,CD307ARE1318R CD307ARE1317R,CD407ARE1318R CD407ARE1317R,CD207ARE1318R CD207ARE1317R,CDS07ARE1318R CDS07ARE1317R,CDE07ARE1318R CDE07ARE1317R,CDL07ARE1318R CDL07ARE1317R,
Grade 7 Mathematics,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA07AMA1S18R,DDA07AMA1S18R,CDA07AMA1S18R,CDB07AMA1S18R,CDH07AMA1S18R,CDW07AMA1S18R,CDI07AMA1S18R,CD307AMA1S18R,CD407AMA1S18R,CD207AMA1S18R,CDS07AMA1S18R,CDE07AMA1S18R,CDL07AMA1S18R,
,2017,SDA07AMA1S17R,DDA07AMA1S17R,CDA07AMA1S17R,CDB07AMA1S17R,CDH07AMA1S17R,CDW07AMA1S17R,CDI07AMA1S17R,CD307AMA1S17R,CD407AMA1S17R,CD207AMA1S17R,CDS07AMA1S17R,CDE07AMA1S17R,CDL07AMA1S17R,
