,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EL (Current & Monitored)
At Meets Grade Level or Above,2019,SDA05AMA1219R,RDA05AMA1219R,DDA05AMA1219R,"DDB05AMA1219R
:unselected:","DDH05AMA1219R
:unselected:",DDW05AMA1219R,"DDI05AMA1219R
:unselected:",DD305AMA1219R,DD405AMA1219R,DD205AMA1219R,DDS05AMA1219R,DNS05AMA1219R,DNC05AMA1219R,DNM05AMA1219R,DDE05AMA1219R,DD005AMA1219R
,2018,SDA05AMA1218R,RDA05AMA1218R,DDA05AMA1218R,"DDB05AMA1218R
:unselected:","DDH05AMA1218R
:unselected:",DDW05AMA1218R,DDI05AMA1218R,DD305AMA1218R,DD405AMA1218R,DD205AMA1218R,DDS05AMA1218R,DNS05AMA1218R,DNC05AMA1218R,DNM05AMA1218R,DDE05AMA1218R,DD005AMA1218R
At Masters Grade Level,2019,SDA05AMA1319R,RDA05AMA1319R,DDA05AMA1319R,"DDB05AMA1319R
:unselected:","DDH05AMA1319R
:unselected:",DDW05AMA1319R,DDI05AMA1319R,DD305AMA1319R,DD405AMA1319R,DD205AMA1319R,DDS05AMA1319R,DNS05AMA1319R,DNC05AMA1319R,DNM05AMA1319R,DDE05AMA1319R,DD005AMA1319R
,2018,SDA05AMA1318R,RDA05AMA1318R,DDA05AMA1318R,"DDB05AMA1318R
:unselected:","DDH05AMA1318R
:unselected:",DDW05AMA1318R,DDI05AMA1318R,DD305AMA1318R,DD405AMA1318R,DD205AMA1318R,DDS05AMA1318R,DNS05AMA1318R,DNC05AMA1318R,DNM05AMA1318R,DDE05AMA1318R,DD005AMA1318R
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA05ASC1S19R,RDA05ASC1S19R,DDA05ASC1S19R,"DDB05ASC1S19R
:unselected:","DDH05ASC1S19R
:unselected:","DDW05ASC1S19R
:unselected:","DDI05ASC1S19R
:unselected:","DD305ASC1S19R
:unselected:",DD405ASC1S19R,DD205ASC1S19R,DDS05ASC1S19R,DNS05ASC1S19R,"DNC05ASC1S19R
:unselected:",DNM05ASC1S19R,"DDE05ASC1S19R
:unselected:",DD005ASC1S19R
,2018,SDA05ASC1S18R,RDA05ASC1S18R,DDA05ASC1S18R,"DDB05ASC1S18R
:unselected:","DDH05ASC1S18R
:unselected:","DDW05ASC1S18R
:unselected:","DDI05ASC1S18R
:unselected:","DD305ASC1S18R
:unselected:",DD405ASC1S18R,DD205ASC1S18R,DDS05ASC1S18R,DNS05ASC1S18R,"DNC05ASC1S18R
:unselected:",DNM05ASC1S18R,"DDE05ASC1S18R
:unselected:",DD005ASC1S18R
At Meets Grade Level or Above,2019,SDA05ASC1219R,RDA05ASC1219R,DDA05ASC1219R,"DDB05ASC1219R
:unselected:","DDH05ASC1219R
:unselected:","DDW05ASC1219R
:unselected:","DDI05ASC1219R
:unselected:","DD305ASC1219R
:unselected:",DD405ASC1219R,DD205ASC1219R,DDS05ASC1219R,DNS05ASC1219R,"DNC05ASC1219R
:unselected:",DNM05ASC1219R,"DDE05ASC1219R
:unselected:",DD005ASC1219R
,2018,SDA05ASC1218R,RDA05ASC1218R,DDA05ASC1218R,"DDB05ASC1218R
:unselected:","DDH05ASC1218R
:unselected:","DDW05ASC1218R
:unselected:","DDI05ASC1218R
:unselected:","DD305ASC1218R
:unselected:",DD405ASC1218R,DD205ASC1218R,DDS05ASC1218R,DNS05ASC1218R,"DNC05ASC1218R
:unselected:",DNM05ASC1218R,"DDE05ASC1218R
:unselected:",DD005ASC1218R
At Masters Grade Level,2019,SDA05ASC1319R,RDA05ASC1319R,DDA05ASC1319R,"DDB05ASC1319R
:selected:","DDH05ASC1319R
:unselected:","DDW05ASC1319R
:unselected:","DDI05ASC1319R
:unselected:","DD305ASC1319R
:unselected:",DD405ASC1319R,DD205ASC1319R,DDS05ASC1319R,DNS05ASC1319R,"DNC05ASC1319R
:unselected:",DNM05ASC1319R,DDE05ASC1319R,DD005ASC1319R
,2018,SDA05ASC1318R,RDA05ASC1318R,DDA05ASC1318R,"DDB05ASC1318R
:selected:","DDH05ASC1318R
:selected:","DDW05ASC1318R
:unselected:","DDI05ASC1318R
:unselected:",DD305ASC1318R,DD405ASC1318R,DD205ASC1318R,DDS05ASC1318R,DNS05ASC1318R,"DNC05ASC1318R
:unselected:",DNM05ASC1318R,DDE05ASC1318R,DD005ASC1318R
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA06ARE1S19R,RDA06ARE1S19R,DDA06ARE1S19R,"DDB06ARE1S19R
:unselected:","DDH06ARE1S19R
:unselected:","DDW06ARE1S19R
:unselected:","DDI06ARE1S19R
:unselected:","DD306ARE1S19R
:unselected:",DD406ARE1S19R,DD206ARE1S19R,DDS06ARE1S19R,"DNS06ARE1S19R
:unselected:","DNC06ARE1S19R
:unselected:","DNM06ARE1S19R
:selected:","DDE06ARE1S19R
:unselected:",DD006ARE1S19R
,2018,SDA06ARE1S18R,RDA06ARE1S18R,DDA06ARE1S18R,"DDB06ARE1S18R
:unselected:","DDH06ARE1S18R
:unselected:","DDW06ARE1S18R
:unselected:","DDI06ARE1S18R
:unselected:","DD306ARE1S18R
:unselected:",DD406ARE1S18R,DD206ARE1S18R,DDS06ARE1S18R,DNS06ARE1S18R,"DNC06ARE1S18R
:unselected:","DNM06ARE1S18R
:unselected:","DDE06ARE1S18R
:unselected:",DD006ARE1S18R
At Meets Grade Level or Above,2019,SDA06ARE1219R,RDA06ARE1219R,DDA06ARE1219R,"DDB06ARE1219R
:unselected:","DDH06ARE1219R
:unselected:","DDW06ARE1219R
:unselected:","DDI06ARE1219R
:unselected:","DD306ARE1219R
:unselected:",DD406ARE1219R,DD206ARE1219R,DDS06ARE1219R,"DNS06ARE1219R
:unselected:","DNC06ARE1219R
:unselected:","DNM06ARE1219R
:unselected:","DDE06ARE1219R
:unselected:",DD006ARE1219R
,2018,SDA06ARE1218R,RDA06ARE1218R,DDA06ARE1218R,"DDB06ARE1218R
:unselected:","DDH06ARE1218R
:unselected:","DDW06ARE1218R
:unselected:","DDI06ARE1218R
:unselected:","DD306ARE1218R
:unselected:",DD406ARE1218R,DD206ARE1218R,DDS06ARE1218R,DNS06ARE1218R,"DNC06ARE1218R
:unselected:","DNM06ARE1218R
:unselected:","DDE06ARE1218R
:unselected:",DD006ARE1218R
At Masters Grade Level,2019 2018,SDA06ARE1319R SDA06ARE1318R,RDA06ARE1319R RDA06ARE1318R,DDA06ARE1319R DDA06ARE1318R,"DDB06ARE1319R DDB06ARE1318R
:unselected:
:unselected:","DDH06ARE1319R DDH06ARE1318R
:unselected:
:unselected:","DDW06ARE1319R DDW06ARE1318R
:unselected:
:unselected:","DDI06ARE1319R DDI06ARE1318R
:unselected:
:unselected:","DD306ARE1319R DD306ARE1318R
:unselected:",DD406ARE1319R DD406ARE1318R,DD206ARE1319R DD206ARE1318R,DDS06ARE1319R DDS06ARE1318R,"DNS06ARE1319R DNS06ARE1318R
:unselected:
:unselected:","DNC06ARE1319R DNC06ARE1318R
:unselected:
:unselected:","DNM06ARE1319R DNM06ARE1318R
:unselected:
:unselected:","DDE06ARE1319R DDE06ARE1318R
:unselected:",DD006ARE1319R DD006ARE1318R
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA06AMA1S19R,RDA06AMA1S19R,DDA06AMA1S19R,"DDB06AMA1S19R
:unselected:","DDH06AMA1S19R
:unselected:","DDW06AMA1S19R
:unselected:","DDI06AMA1S19R
:unselected:",DD306AMA1S19R,DD406AMA1S19R,DD206AMA1S19R,DDS06AMA1S19R,"DNS06AMA1S19R
:unselected:","DNC06AMA1S19R
:unselected:","DNM06AMA1S19R
:unselected:",DDE06AMA1S19R,DD006AMA1S19R
,2018,SDA06AMA1S18R,RDA06AMA1S18R,DDA06AMA1S18R,"DDB06AMA1S18R
:selected:","DDH06AMA1S18R
:unselected:","DDW06AMA1S18R
:unselected:","DDI06AMA1S18R
:unselected:","DD306AMA1S18R
:unselected:",DD406AMA1S18R,DD206AMA1S18R,DDS06AMA1S18R,"DNS06AMA1S18R
:unselected:","DNC06AMA1S18R
:unselected:","DNM06AMA1S18R
:unselected:",DDE06AMA1S18R,DD006AMA1S18R
At Meets Grade Level or Above,2019,SDA06AMA1219R,RDA06AMA1219R,DDA06AMA1219R,"DDB06AMA1219R
:unselected:","DDH06AMA1219R
:unselected:","DDW06AMA1219R
:unselected:","DDI06AMA1219R
:unselected:","DD306AMA1219R
:unselected:",DD406AMA1219R,DD206AMA1219R,DDS06AMA1219R,"DNS06AMA1219R
:unselected:","DNC06AMA1219R
:unselected:",DNM06AMA1219R,"DDE06AMA1219R
:unselected:",DD006AMA1219R
,2018,SDA06AMA1218R,RDA06AMA1218R,DDA06AMA1218R,"DDB06AMA1218R
:unselected:","DDH06AMA1218R
:unselected:","DDW06AMA1218R
:unselected:","DDI06AMA1218R
:unselected:","DD306AMA1218R
:unselected:",DD406AMA1218R,DD206AMA1218R,DDS06AMA1218R,"DNS06AMA1218R
:unselected:","DNC06AMA1218R
:unselected:",DNM06AMA1218R,"DDE06AMA1218R
:unselected:",DD006AMA1218R
At Masters Grade Level,2019,SDA06AMA1319R,RDA06AMA1319R,DDA06AMA1319R,"DDB06AMA1319R
:unselected:","DDH06AMA1319R
:unselected:","DDW06AMA1319R
:unselected:","DDI06AMA1319R
:unselected:","DD306AMA1319R
:unselected:",DD406AMA1319R,DD206AMA1319R,DDS06AMA1319R,"DNS06AMA1319R
:unselected:","DNC06AMA1319R
:unselected:",DNM06AMA1319R,"DDE06AMA1319R
:unselected:",DD006AMA1319R
,2018,SDA06AMA1318R,RDA06AMA1318R,DDA06AMA1318R,"DDB06AMA1318R
:unselected:","DDH06AMA1318R
:unselected:","DDW06AMA1318R
:unselected:","DDI06AMA1318R
:selected:","DD306AMA1318R
:unselected:",DD406AMA1318R,DD206AMA1318R,DDS06AMA1318R,"DNS06AMA1318R
:unselected:","DNC06AMA1318R
:unselected:",DNM06AMA1318R,"DDE06AMA1318R
:unselected:",DD006AMA1318R
,,,,,,,,,,,,,,,,,
,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EL (Current & Monitored)
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA07ARE1S19R,RDA07ARE1S19R,DDA07ARE1S19R,"DDB07ARE1S19R
:unselected:","DDH07ARE1S19R
:unselected:","DDW07ARE1S19R
:unselected:","DDI07ARE1S19R
:unselected:","DD307ARE1S19R
:unselected:",DD407ARE1S19R,DD207ARE1S19R,DDS07ARE1S19R,DNS07ARE1S19R,DNC07ARE1S19R,DNM07ARE1S19R,DDE07ARE1S19R,DD007ARE1S19R
