DISTRICT,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDA00AC01221R,DDA00AC01321R,DDA00AC01S21R,DDA00AM01221R,DDA00AM01321R,DDA00AM01S21R,DDA00AR01221R,DDA00AR01321R,DDA00AR01S21R,DDA00AS01221R,DDA00AS01321R,DDA00AS01S21R,DDA00AW01221R,DDA00AW01321R,DDA00AW01S21R,DDC00A001221R,DDC00A001321R,DDC00A001S21R,DDC00AC01221R,DDC00AC01321R,DDC00AC01S21R,DDC00AM01221R,DDC00AM01321R,DDC00AM01S21R,DDC00AR01221R,DDC00AR01321R,DDC00AR01S21R,DDC00AS01221R,DDC00AS01321R,DDC00AS01S21R,DDC00AW01221R,DDC00AW01321R,DDC00AW01S21R,DDJ00A001221R,DDJ00A001321R,DDJ00A001S21R,DDJ00AC01221R,DDJ00AC01321R,DDJ00AC01S21R,DDJ00AM01221R,DDJ00AM01321R,DDJ00AM01S21R,DDJ00AR01221R,DDJ00AR01321R,DDJ00AR01S21R,DDJ00AS01221R,DDJ00AS01321R,DDJ00AS01S21R,DDJ00AW01221R,DDJ00AW01321R,DDJ00AW01S21R,DDK00A001221R,DDK00A001321R,DDK00A001S21R,DDK00AC01221R,DDK00AC01321R,DDK00AC01S21R,DDK00AM01221R,DDK00AM01321R,DDK00AM01S21R,DDK00AR01221R,DDK00AR01321R,DDK00AR01S21R,DDK00AS01221R,DDK00AS01321R,DDK00AS01S21R,DDK00AW01221R,DDK00AW01321R,DDK00AW01S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDL00AC01221R,DDL00AC01321R,DDL00AC01S21R,DDL00AM01221R,DDL00AM01321R,DDL00AM01S21R,DDL00AR01221R,DDL00AR01321R,DDL00AR01S21R,DDL00AS01221R,DDL00AS01321R,DDL00AS01S21R,DDL00AW01221R,DDL00AW01321R,DDL00AW01S21R,DDQ00A001221R,DDQ00A001321R,DDQ00A001S21R,DDQ00AC01221R,DDQ00AC01321R,DDQ00AC01S21R,DDQ00AM01221R,DDQ00AM01321R,DDQ00AM01S21R,DDQ00AR01221R,DDQ00AR01321R,DDQ00AR01S21R,DDQ00AS01221R,DDQ00AS01321R,DDQ00AS01S21R,DDQ00AW01221R,DDQ00AW01321R,DDQ00AW01S21R,DDT00A001221R,DDT00A001321R,DDT00A001S21R,DDT00AC01221R,DDT00AC01321R,DDT00AC01S21R,DDT00AM01221R,DDT00AM01321R,DDT00AM01S21R,DDT00AR01221R,DDT00AR01321R,DDT00AR01S21R,DDT00AS01221R,DDT00AS01321R,DDT00AS01S21R,DDT00AW01221R,DDT00AW01321R,DDT00AW01S21R,DDU00A001221R,DDU00A001321R,DDU00A001S21R,DDU00AC01221R,DDU00AC01321R,DDU00AC01S21R,DDU00AM01221R,DDU00AM01321R,DDU00AM01S21R,DDU00AR01221R,DDU00AR01321R,DDU00AR01S21R,DDU00AS01221R,DDU00AS01321R,DDU00AS01S21R,DDU00AW01221R,DDU00AW01321R,DDU00AW01S21R,DDX00A001221R,DDX00A001321R,DDX00A001S21R,DDX00AC01221R,DDX00AC01321R,DDX00AC01S21R,DDX00AM01221R,DDX00AM01321R,DDX00AM01S21R,DDX00AR01221R,DDX00AR01321R,DDX00AR01S21R,DDX00AS01221R,DDX00AS01321R,DDX00AS01S21R,DDX00AW01221R,DDX00AW01321R,DDX00AW01S21R,DDY00A001221R,DDY00A001321R,DDY00A001S21R,DDY00AC01221R,DDY00AC01321R,DDY00AC01S21R,DDY00AM01221R,DDY00AM01321R,DDY00AM01S21R,DDY00AR01221R,DDY00AR01321R,DDY00AR01S21R,DDY00AS01221R,DDY00AS01321R,DDY00AS01S21R,DDY00AW01221R,DDY00AW01321R,DDY00AW01S21R,DDZ00A001221R,DDZ00A001321R,DDZ00A001S21R,DDZ00AC01221R,DDZ00AC01321R,DDZ00AC01S21R,DDZ00AM01221R,DDZ00AM01321R,DDZ00AM01S21R,DDZ00AR01221R,DDZ00AR01321R,DDZ00AR01S21R,DDZ00AS01221R,DDZ00AS01321R,DDZ00AS01S21R,DDZ00AW01221R,DDZ00AW01321R,DDZ00AW01S21R,DISTNAME,DNB00A001221R,DNB00A001321R,DNB00A001S21R,DNB00AC01221R,DNB00AC01321R,DNB00AC01S21R,DNB00AM01221R,DNB00AM01321R,DNB00AM01S21R,DNB00AR01221R,DNB00AR01321R,DNB00AR01S21R,DNB00AS01221R,DNB00AS01321R,DNB00AS01S21R,DNB00AW01221R,DNB00AW01321R,DNB00AW01S21R,DNE00A001221R,DNE00A001321R,DNE00A001S21R,DNE00AC01221R,DNE00AC01321R,DNE00AC01S21R,DNE00AM01221R,DNE00AM01321R,DNE00AM01S21R,DNE00AR01221R,DNE00AR01321R,DNE00AR01S21R,DNE00AS01221R,DNE00AS01321R,DNE00AS01S21R,DNE00AW01221R,DNE00AW01321R,DNE00AW01S21R,DNN00A001221R,DNN00A001321R,DNN00A001S21R,DNN00AC01221R,DNN00AC01321R,DNN00AC01S21R,DNN00AM01221R,DNN00AM01321R,DNN00AM01S21R,DNN00AR01221R,DNN00AR01321R,DNN00AR01S21R,DNN00AS01221R,DNN00AS01321R,DNN00AS01S21R,DNN00AW01221R,DNN00AW01321R,DNN00AW01S21R,DNT00A001221R,DNT00A001321R,DNT00A001S21R,DNT00AC01221R,DNT00AC01321R,DNT00AC01S21R,DNT00AM01221R,DNT00AM01321R,DNT00AM01S21R,DNT00AR01221R,DNT00AR01321R,DNT00AR01S21R,DNT00AS01221R,DNT00AS01321R,DNT00AS01S21R,DNT00AW01221R,DNT00AW01321R,DNT00AW01S21R
"'034906",53,22,83,53,19,79,61,29,94,51,23,79,44,13,81,39,8,65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MCLEOD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,22,83,53,19,79,61,29,94,51,23,79,44,13,81,39,8,65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'034907",45,17,73,48,15,80,40,15,72,48,17,70,42,30,65,52,14,82,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"QUEEN CITY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,17,73,48,14,80,40,14,72,48,17,70,42,30,65,52,14,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'034909",42,18,74,43,18,84,40,16,72,47,20,70,51,23,82,18,9,73,14,0,43,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,0,43,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,0,43,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BLOOMBURG ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,18,75,42,18,84,40,16,73,48,20,71,51,23,82,16,6,71,71,43,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'035901",30,8,59,31,8,63,29,9,63,31,8,54,39,14,67,13,2,44,12,2,37,7,0,33,13,3,49,13,2,32,13,3,35,11,0,28,12,7,33,.,.,.,20,12,47,8,4,31,.,.,.,4,0,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,4,38,11,2,39,19,7,50,13,4,33,11,3,36,7,0,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,7,37,9,4,30,22,11,50,11,6,35,.,.,.,4,0,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,0,37,6,0,28,11,0,56,19,0,37,10,0,30,.,.,.,22,5,46,29,0,86,33,8,50,19,6,31,0,0,40,-1,-1,-1,"DIMMITT ISD",17,7,43,9,4,30,26,9,57,17,9,43,.,.,.,.,.,.,12,3,37,11,0,44,14,4,47,10,3,28,18,9,45,11,0,28,33,9,63,36,8,67,30,9,65,34,9,59,44,16,73,15,2,49,57,14,92,50,21,96,63,13,95,63,11,91,53,16,84,22,11,100
"'035902",53,20,83,52,20,83,60,23,85,53,23,84,38,17,79,38,4,77,39,17,71,17,17,50,43,19,76,42,21,75,-1,-1,-1,33,0,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,17,67,0,0,40,37,21,74,36,23,73,-1,-1,-1,20,0,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,17,71,17,17,50,43,19,76,42,21,75,-1,-1,-1,33,0,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HART ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,21,86,58,20,88,65,24,88,56,23,86,37,19,81,40,5,80,100,14,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'035903",71,37,90,82,41,93,61,26,88,71,42,89,79,55,93,85,27,94,0,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NAZARETH ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,37,90,84,42,93,62,26,89,72,43,89,79,55,93,85,27,94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'036901",45,17,74,54,19,81,42,17,73,45,16,71,55,26,85,30,6,66,9,2,44,18,0,45,16,6,45,3,0,46,9,0,55,0,0,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,2,44,18,0,45,16,6,45,3,0,46,9,0,55,0,0,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,9,2,45,18,0,45,17,7,47,3,0,47,9,0,55,0,0,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ANAHUAC ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,17,73,54,19,81,41,16,71,45,16,70,55,28,85,30,7,64,59,22,89,62,21,93,63,30,91,59,21,84,70,27,97,38,3,90
"'036902",68,39,89,73,42,90,73,45,93,67,34,88,70,48,88,49,18,77,27,11,63,17,14,59,44,21,82,23,6,54,14,0,57,17,0,39,32,17,68,32,5,63,37,21,79,32,18,70,.,.,.,22,11,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,12,65,21,10,58,41,20,81,25,10,61,14,0,59,18,3,36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,17,68,32,5,63,37,21,79,32,18,70,.,.,.,22,11,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,11,63,17,14,59,44,21,82,23,6,54,14,0,57,17,0,39,38,13,88,-1,-1,-1,80,40,100,20,0,100,-1,-1,-1,-1,-1,-1,"BARBERS HILL ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,40,90,74,43,91,74,46,94,68,35,89,72,49,89,51,19,79,79,43,92,80,49,98,84,56,96,80,35,93,72,42,88,65,18,65
"'036903",51,22,79,50,20,78,52,24,81,50,20,77,66,43,87,37,10,71,34,12,68,22,5,67,41,18,74,29,8,65,58,23,80,23,11,58,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,14,70,25,5,67,45,22,76,30,10,66,59,24,80,26,10,61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,19,73,32,5,68,55,33,82,32,13,67,.,.,.,38,6,69,45,22,76,24,12,76,59,29,87,42,19,75,.,.,.,29,16,55,27,7,64,22,2,63,27,9,63,21,2,58,58,23,80,14,5,64,56,33,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"EAST CHAMBERS ISD",42,20,74,32,5,68,57,34,83,31,14,67,.,.,.,38,6,69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,25,80,57,24,78,53,25,81,55,23,79,69,50,90,36,10,72,72,27,95,68,29,97,70,30,94,76,27,97,64,32,86,84,11,100
"'037901",40,14,69,48,18,71,37,14,72,40,12,65,37,17,61,42,8,80,21,5,54,24,5,43,26,7,62,18,4,48,0,0,29,18,0,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,6,55,27,9,45,27,8,63,19,4,48,0,0,29,18,0,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,21,5,55,24,5,43,26,7,62,18,4,49,0,0,29,18,0,76,50,33,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,"ALTO ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,15,70,48,15,71,38,15,74,43,15,67,36,18,59,51,11,79,71,26,96,75,44,100,72,33,94,78,15,96,67,25,92,-1,-1,-1
"'037904",36,14,66,36,13,67,31,12,66,40,15,68,47,27,70,28,6,58,14,2,46,14,2,48,16,2,48,14,2,47,16,5,41,8,1,39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,9,57,15,3,49,24,9,59,26,12,61,17,6,41,23,6,52,28,11,69,11,4,54,23,8,69,35,18,74,.,.,.,40,6,64,37,18,68,20,6,47,38,18,69,42,23,76,.,.,.,35,13,64,32,14,67,17,6,50,30,13,67,36,19,72,.,.,.,37,11,64,37,10,59,71,14,86,41,9,64,32,11,57,.,.,.,27,7,40,11,2,44,11,1,47,11,1,45,12,1,46,16,5,41,5,0,39,27,15,50,17,17,50,31,13,56,24,18,47,40,20,40,-1,-1,-1,"JACKSONVILLE ISD",9,4,50,.,.,.,11,4,52,7,4,48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,15,68,41,15,71,33,13,66,44,16,69,52,32,74,29,6,58,59,21,90,59,23,93,51,16,87,69,22,93,60,32,86,46,13,91
"'037907",44,18,74,46,18,77,41,16,75,46,18,73,61,42,81,27,6,60,26,10,57,17,0,55,33,15,59,26,11,55,25,8,75,11,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,9,56,16,0,55,32,14,59,25,10,54,25,8,75,11,0,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,10,57,17,0,55,33,15,59,26,11,55,25,8,75,11,0,50,0,0,45,-1,-1,-1,-1,-1,-1,0,0,40,.,.,.,-1,-1,-1,"RUSK ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,19,74,48,20,78,40,16,76,47,18,74,62,43,82,27,7,60,65,29,92,50,22,100,66,21,93,72,35,93,65,47,76,56,11,89
"'037908",37,11,71,39,7,70,37,12,70,38,11,73,36,22,73,29,1,65,41,10,72,48,11,59,49,16,78,36,8,71,32,11,68,35,0,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,7,66,36,5,65,38,12,70,26,6,66,26,9,61,23,0,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,5,63,23,0,85,27,5,63,27,7,66,.,.,.,6,0,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,10,72,48,11,59,49,16,78,36,8,71,32,11,68,35,0,76,27,5,64,35,0,65,41,16,69,11,0,60,-1,-1,-1,33,0,83,"NEW SUMMERFIELD ISD",24,5,63,23,0,85,27,5,63,27,7,66,.,.,.,6,0,35,58,28,80,67,25,75,60,50,90,50,17,78,.,.,.,.,.,.,41,15,71,47,10,71,33,13,67,46,16,74,44,30,81,29,0,61,46,13,84,25,0,81,45,13,83,57,16,90,27,18,64,50,8,92
"'037909",36,13,68,29,5,64,28,14,67,45,13,71,48,24,66,20,8,68,19,0,71,-1,-1,-1,0,0,67,22,0,78,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,0,78,17,0,83,0,0,75,36,0,82,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,0,71,-1,-1,-1,0,0,67,22,0,78,-1,-1,-1,-1,-1,-1,33,0,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,"WELLS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,14,67,30,6,62,30,15,66,45,14,70,50,25,68,17,8,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'038901",49,23,78,43,22,80,55,26,84,48,20,76,53,38,72,38,10,74,29,10,74,0,0,63,43,22,91,19,4,69,40,20,40,38,0,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,10,74,0,0,63,43,22,91,19,4,69,40,20,40,38,0,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,10,74,0,0,63,43,22,91,19,4,69,40,20,40,38,0,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CHILDRESS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,23,78,44,22,81,56,26,83,49,20,76,53,38,73,38,11,74,84,42,95,-1,-1,-1,-1,-1,-1,100,17,100,60,40,80,.,.,.
"'039902",51,21,79,51,22,80,48,21,79,52,20,80,66,41,86,40,9,66,40,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HENRIETTA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,22,79,51,22,80,48,21,80,52,20,80,66,41,86,40,9,66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'039903",40,14,69,34,12,64,30,12,66,47,15,73,52,20,77,41,10,64,13,0,50,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,0,36,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"PETROLIA CISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,40,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,40,14,70,34,12,64,30,12,67,47,15,74,52,20,77,44,11,65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'039904",49,20,79,61,11,89,29,12,69,58,25,82,76,53,82,36,7,86,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BELLEVUE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,20,80,61,11,89,30,12,70,59,26,83,76,53,82,36,7,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'039905",47,27,69,29,13,58,56,31,78,45,22,63,52,38,71,50,38,75,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MIDWAY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,27,70,29,13,58,57,32,79,46,23,65,52,38,71,53,40,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
