DISTRICT,DD000A001221R,DD000A001321R,DD000A001S21R,DD000AC01221R,DD000AC01321R,DD000AC01S21R,DD000AM01221R,DD000AM01321R,DD000AM01S21R,DD000AR01221R,DD000AR01321R,DD000AR01S21R,DD000AS01221R,DD000AS01321R,DD000AS01S21R,DD000AW01221R,DD000AW01321R,DD000AW01S21R,DD200A001221R,DD200A001321R,DD200A001S21R,DD200AC01221R,DD200AC01321R,DD200AC01S21R,DD200AM01221R,DD200AM01321R,DD200AM01S21R,DD200AR01221R,DD200AR01321R,DD200AR01S21R,DD200AS01221R,DD200AS01321R,DD200AS01S21R,DD200AW01221R,DD200AW01321R,DD200AW01S21R,DD300A001221R,DD300A001321R,DD300A001S21R,DD300AC01221R,DD300AC01321R,DD300AC01S21R,DD300AM01221R,DD300AM01321R,DD300AM01S21R,DD300AR01221R,DD300AR01321R,DD300AR01S21R,DD300AS01221R,DD300AS01321R,DD300AS01S21R,DD300AW01221R,DD300AW01321R,DD300AW01S21R,DD400A001221R,DD400A001321R,DD400A001S21R,DD400AC01221R,DD400AC01321R,DD400AC01S21R,DD400AM01221R,DD400AM01321R,DD400AM01S21R,DD400AR01221R,DD400AR01321R,DD400AR01S21R,DD400AS01221R,DD400AS01321R,DD400AS01S21R,DD400AW01221R,DD400AW01321R,DD400AW01S21R,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDA00AC01221R,DDA00AC01321R,DDA00AC01S21R,DDA00AM01221R,DDA00AM01321R,DDA00AM01S21R,DDA00AR01221R,DDA00AR01321R,DDA00AR01S21R,DDA00AS01221R,DDA00AS01321R,DDA00AS01S21R,DDA00AW01221R,DDA00AW01321R,DDA00AW01S21R,DDB00A001221R,DDB00A001321R,DDB00A001S21R,DDB00AC01221R,DDB00AC01321R,DDB00AC01S21R,DDB00AM01221R,DDB00AM01321R,DDB00AM01S21R,DDB00AR01221R,DDB00AR01321R,DDB00AR01S21R,DDB00AS01221R,DDB00AS01321R,DDB00AS01S21R,DDB00AW01221R,DDB00AW01321R,DDB00AW01S21R,DDE00A001221R,DDE00A001321R,DDE00A001S21R,DDE00AC01221R,DDE00AC01321R,DDE00AC01S21R,DDE00AM01221R,DDE00AM01321R,DDE00AM01S21R,DDE00AR01221R,DDE00AR01321R,DDE00AR01S21R,DDE00AS01221R,DDE00AS01321R,DDE00AS01S21R,DDE00AW01221R,DDE00AW01321R,DDE00AW01S21R,DDF00A001221R,DDF00A001321R,DDF00A001S21R,DDF00AC01221R,DDF00AC01321R,DDF00AC01S21R,DDF00AM01221R,DDF00AM01321R,DDF00AM01S21R,DDF00AR01221R,DDF00AR01321R,DDF00AR01S21R,DDF00AS01221R,DDF00AS01321R,DDF00AS01S21R,DDF00AW01221R,DDF00AW01321R,DDF00AW01S21R,DDH00A001221R,DDH00A001321R,DDH00A001S21R,DDH00AC01221R,DDH00AC01321R,DDH00AC01S21R,DDH00AM01221R,DDH00AM01321R,DDH00AM01S21R,DDH00AR01221R,DDH00AR01321R,DDH00AR01S21R,DDH00AS01221R,DDH00AS01321R,DDH00AS01S21R,DDH00AW01221R,DDH00AW01321R,DDH00AW01S21R,DDI00A001221R,DDI00A001321R,DDI00A001S21R,DDI00AC01221R,DDI00AC01321R,DDI00AC01S21R,DDI00AM01221R,DDI00AM01321R,DDI00AM01S21R,DDI00AR01221R,DDI00AR01321R,DDI00AR01S21R,DDI00AS01221R,DDI00AS01321R,DDI00AS01S21R,DDI00AW01221R,DDI00AW01321R,DDI00AW01S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDL00AC01221R,DDL00AC01321R,DDL00AC01S21R,DDL00AM01221R,DDL00AM01321R,DDL00AM01S21R,DDL00AR01221R,DDL00AR01321R,DDL00AR01S21R,DDL00AS01221R,DDL00AS01321R,DDL00AS01S21R,DDL00AW01221R,DDL00AW01321R,DDL00AW01S21R,DDM00A001221R,DDM00A001321R,DDM00A001S21R,DDM00AC01221R,DDM00AC01321R,DDM00AC01S21R,DDM00AM01221R,DDM00AM01321R,DDM00AM01S21R,DDM00AR01221R,DDM00AR01321R,DDM00AR01S21R,DDM00AS01221R,DDM00AS01321R,DDM00AS01S21R,DDM00AW01221R,DDM00AW01321R,DDM00AW01S21R,DDR00A001221R,DDR00A001321R,DDR00A001S21R,DDR00AC01221R,DDR00AC01321R,DDR00AC01S21R,DDR00AM01221R,DDR00AM01321R,DDR00AM01S21R,DDR00AR01221R,DDR00AR01321R,DDR00AR01S21R,DDR00AS01221R,DDR00AS01321R,DDR00AS01S21R,DDR00AW01221R,DDR00AW01321R,DDR00AW01S21R,DDS00A001221R,DDS00A001321R,DDS00A001S21R,DDS00AC01221R,DDS00AC01321R,DDS00AC01S21R,DDS00AM01221R,DDS00AM01321R,DDS00AM01S21R,DDS00AR01221R,DDS00AR01321R,DDS00AR01S21R,DDS00AS01221R,DDS00AS01321R,DDS00AS01S21R,DDS00AW01221R,DDS00AW01321R,DDS00AW01S21R,DDW00A001221R,DDW00A001321R,DDW00A001S21R,DDW00AC01221R,DDW00AC01321R,DDW00AC01S21R,DDW00AM01221R,DDW00AM01321R,DDW00AM01S21R,DDW00AR01221R,DDW00AR01321R,DDW00AR01S21R,DDW00AS01221R,DDW00AS01321R,DDW00AS01S21R,DDW00AW01221R,DDW00AW01321R,DDW00AW01S21R,DISTNAME,DNC00A001221R,DNC00A001321R,DNC00A001S21R,DNC00AC01221R,DNC00AC01321R,DNC00AC01S21R,DNC00AM01221R,DNC00AM01321R,DNC00AM01S21R,DNC00AR01221R,DNC00AR01321R,DNC00AR01S21R,DNC00AS01221R,DNC00AS01321R,DNC00AS01S21R,DNC00AW01221R,DNC00AW01321R,DNC00AW01S21R,DNM00A001221R,DNM00A001321R,DNM00A001S21R,DNM00AC01221R,DNM00AC01321R,DNM00AC01S21R,DNM00AM01221R,DNM00AM01321R,DNM00AM01S21R,DNM00AR01221R,DNM00AR01321R,DNM00AR01S21R,DNM00AS01221R,DNM00AS01321R,DNM00AS01S21R,DNM00AW01221R,DNM00AW01321R,DNM00AW01S21R,DNS00A001221R,DNS00A001321R,DNS00A001S21R,DNS00AC01221R,DNS00AC01321R,DNS00AC01S21R,DNS00AM01221R,DNS00AM01321R,DNS00AM01S21R,DNS00AR01221R,DNS00AR01321R,DNS00AR01S21R,DNS00AS01221R,DNS00AS01321R,DNS00AS01S21R,DNS00AW01221R,DNS00AW01321R,DNS00AW01S21R
"'167904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,12,71,35,10,74,35,16,76,42,8,72,50,29,71,0,0,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,8,66,26,0,63,24,12,73,43,10,68,33,17,67,0,0,44,37,12,77,41,6,76,31,19,78,46,8,78,43,29,86,0,0,57,23,3,65,9,0,64,18,6,71,43,5,67,14,0,57,0,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,12,63,29,14,71,41,12,71,35,9,61,57,29,57,0,0,33,24,4,63,43,0,71,14,7,71,29,0,65,-1,-1,-1,0,0,40,0,0,31,-1,-1,-1,0,0,40,0,0,17,-1,-1,-1,-1,-1,-1,43,18,74,47,16,79,45,23,77,38,11,73,86,57,86,0,0,43,"PRIDDY ISD",39,12,70,36,14,77,43,18,68,46,5,78,42,25,67,0,0,33,31,12,73,33,0,67,24,14,86,35,13,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'168901",38,17,68,17,17,83,50,27,86,22,9,48,-1,-1,-1,38,13,50,31,9,63,-1,-1,-1,27,9,64,42,8,67,-1,-1,-1,0,0,60,71,29,71,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,16,66,42,18,71,38,17,68,38,13,62,60,33,82,23,3,50,31,9,51,42,8,67,29,17,50,27,4,42,50,13,75,-1,-1,-1,28,10,55,27,11,63,29,12,59,28,7,51,50,26,72,13,3,36,40,15,67,46,18,74,34,17,67,44,15,66,51,22,73,30,3,55,29,11,58,27,10,58,29,9,60,26,8,54,53,31,78,24,7,49,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,13,67,17,17,83,48,24,86,18,5,45,-1,-1,-1,29,0,43,38,16,65,39,18,67,41,17,69,33,11,59,66,41,88,15,3,44,25,7,55,26,6,60,29,11,61,23,4,49,42,13,75,9,1,35,15,6,25,14,9,23,19,6,40,10,4,15,20,0,20,16,5,16,49,22,75,54,26,83,48,24,79,51,19,73,66,38,85,26,0,52,"COLORADO ISD",40,16,68,43,18,73,37,16,69,40,14,64,66,37,85,27,4,53,34,15,60,39,17,65,40,19,65,32,10,56,41,22,70,8,0,36,20,7,60,-1,-1,-1,33,0,83,17,17,50,.,.,.,-1,-1,-1
"'168902",13,0,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,18,65,21,7,54,41,22,68,42,18,66,45,30,70,45,10,60,57,14,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,38,18,60,16,5,47,43,24,67,38,19,58,44,22,67,50,8,58,36,21,60,22,11,44,36,21,61,38,22,66,38,25,63,44,22,56,40,21,65,25,13,56,51,24,68,39,27,68,20,10,60,46,15,62,20,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,13,0,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,42,16,68,21,5,58,46,23,74,46,15,66,50,33,75,45,0,64,16,3,42,6,0,29,20,10,47,18,0,47,13,0,38,25,0,38,18,10,35,-1,-1,-1,20,7,47,20,13,33,.,.,.,0,0,0,39,15,63,20,0,50,30,22,65,44,7,63,63,50,75,43,0,57,"LORAINE ISD",36,15,59,15,5,40,34,17,62,39,17,63,43,21,64,50,7,57,51,27,80,38,13,88,63,38,88,53,21,74,50,50,83,33,17,67,50,17,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'168903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,14,68,33,11,76,31,14,67,44,14,72,53,26,71,19,8,42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,11,60,29,6,59,22,8,58,26,13,62,42,17,75,22,11,44,34,12,66,25,10,85,21,9,62,46,15,68,47,13,73,30,10,45,35,11,66,36,9,73,29,10,60,41,12,71,50,13,69,9,9,45,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,16,70,37,11,71,40,17,71,43,13,75,57,35,70,6,6,38,29,9,66,21,4,79,24,12,66,31,5,67,46,19,62,20,7,47,32,29,56,-1,-1,-1,20,20,50,30,20,50,67,67,100,20,20,20,38,16,69,31,13,78,33,16,71,45,14,72,57,38,71,24,8,40,"WESTBROOK ISD",38,15,67,34,9,81,31,14,66,44,14,70,54,29,68,24,12,40,35,12,70,30,13,70,32,12,68,44,13,76,50,20,80,9,0,45,17,17,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'169901",20,5,51,20,4,44,27,8,52,12,3,48,40,20,90,15,0,46,27,8,65,15,8,62,30,3,63,24,6,64,71,43,86,13,0,63,67,33,93,-1,-1,-1,-1,-1,-1,50,0,83,.,.,.,-1,-1,-1,0,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,41,16,71,46,18,76,35,14,69,42,15,69,63,37,87,30,5,64,0,0,43,-1,-1,-1,0,0,43,0,0,40,.,.,.,-1,-1,-1,34,11,65,43,16,73,28,9,63,32,9,63,60,36,79,22,3,54,41,16,73,43,15,75,34,15,68,45,18,73,59,30,88,36,8,74,37,13,68,37,10,65,33,10,65,36,14,66,68,39,95,23,0,67,53,7,67,-1,-1,-1,-1,-1,-1,33,17,67,-1,-1,-1,-1,-1,-1,19,5,51,17,4,42,26,8,52,13,3,48,33,11,89,15,0,46,41,16,69,49,21,76,36,13,69,39,13,66,65,41,86,23,3,54,21,6,55,30,8,64,17,3,52,20,4,51,43,24,79,10,1,41,17,8,32,17,7,32,15,7,32,13,6,29,40,23,60,18,8,24,43,18,72,50,21,79,36,16,70,45,16,70,62,36,85,31,6,64,"BOWIE ISD",43,17,72,49,21,79,37,16,70,43,15,69,65,38,87,28,2,62,37,14,68,37,10,64,29,10,65,39,15,68,58,31,84,34,12,69,30,9,68,33,0,67,25,6,75,35,12,65,-1,-1,-1,-1,-1,-1
"'169902",22,5,60,39,3,79,24,8,65,20,6,52,10,0,57,5,0,45,30,9,64,50,0,70,25,13,63,25,6,63,-1,-1,-1,-1,-1,-1,71,43,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,16,72,53,20,81,44,16,73,41,17,68,47,22,79,24,1,60,56,38,75,-1,-1,-1,60,40,80,60,20,80,-1,-1,-1,-1,-1,-1,34,11,66,50,16,79,37,13,69,29,9,61,34,16,69,13,0,51,48,17,76,51,18,82,48,15,75,49,20,74,49,16,80,34,2,73,36,11,70,58,17,88,37,10,71,33,10,64,39,22,78,11,0,53,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,4,49,24,0,67,22,10,59,14,3,39,12,0,53,0,0,37,39,16,68,55,21,80,41,17,71,35,14,63,46,26,79,16,0,49,23,5,57,35,6,72,24,6,58,20,3,50,25,5,63,7,0,47,18,6,34,32,18,50,16,3,30,15,4,29,18,9,45,6,0,25,48,19,73,50,21,78,49,19,74,47,21,70,53,20,80,33,2,67,"NOCONA ISD",42,15,74,52,19,81,44,14,76,40,16,69,45,18,81,23,0,61,46,20,67,55,21,80,46,20,67,44,19,64,54,36,71,26,3,58,47,27,97,33,17,100,50,20,100,40,40,100,-1,-1,-1,-1,-1,-1
"'169906",0,0,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,5,71,20,0,80,0,0,50,57,14,86,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,10,56,14,0,43,25,11,50,41,11,67,45,27,59,33,0,54,27,18,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,7,53,12,0,38,20,7,49,36,7,66,37,21,53,25,0,44,33,11,62,20,0,40,24,15,62,45,13,70,50,33,67,36,0,73,23,9,41,20,0,30,23,8,38,29,21,57,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,9,51,9,0,45,26,7,40,38,10,65,44,25,56,31,0,38,31,11,62,14,0,50,25,13,50,38,13,75,43,29,86,38,0,50,13,4,17,0,0,0,17,0,17,14,0,29,-1,-1,-1,-1,-1,-1,34,10,59,12,0,40,28,11,54,42,9,69,43,36,64,42,0,63,"GOLD BURG ISD",40,14,59,18,0,47,34,14,54,50,16,66,54,38,69,38,0,54,23,5,53,12,0,40,17,7,46,32,7,68,33,11,44,27,0,55,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'169908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,0,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,18,75,48,19,76,48,26,87,46,19,79,18,0,36,10,0,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,11,63,33,11,67,40,20,78,38,10,70,0,0,20,10,0,33,36,18,72,25,8,58,47,26,84,47,23,79,13,0,25,6,0,56,50,14,86,-1,-1,-1,40,20,80,60,20,80,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,17,79,78,33,100,49,27,90,46,15,78,-1,-1,-1,14,0,55,19,8,55,-1,-1,-1,28,16,72,28,8,64,-1,-1,-1,0,0,31,14,10,52,-1,-1,-1,13,13,75,25,13,50,-1,-1,-1,-1,-1,-1,39,18,74,50,22,72,49,28,87,45,20,78,11,0,33,11,0,53,"MONTAGUE ISD",40,20,77,47,24,76,52,27,91,46,23,84,11,0,33,8,0,48,38,13,71,-1,-1,-1,39,25,79,46,11,68,-1,-1,-1,13,0,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'169909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,33,76,-1,-1,-1,63,25,75,38,38,75,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,22,83,47,10,77,49,22,82,57,22,85,63,47,90,39,0,78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,21,81,53,11,68,43,18,82,52,25,85,53,41,82,50,0,75,56,25,85,46,15,69,47,23,83,64,25,92,65,40,85,43,0,86,44,17,78,-1,-1,-1,33,33,67,50,0,88,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,19,82,47,6,82,50,21,82,51,19,79,60,60,100,36,0,73,26,7,63,20,0,40,21,8,58,29,4,67,36,18,82,29,0,71,31,16,66,-1,-1,-1,27,18,73,36,18,73,-1,-1,-1,-1,-1,-1,53,21,84,46,7,75,48,20,85,60,23,85,59,44,89,38,0,85,"PRAIRIE VALLEY ISD",50,18,81,38,8,77,38,16,78,57,13,83,69,56,94,44,0,67,56,26,86,53,12,76,61,29,87,58,33,88,57,36,86,33,0,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'169910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,0,60,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,14,80,38,9,88,46,13,80,53,13,78,41,23,86,41,18,73,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,40,13,74,25,13,81,39,15,80,48,10,69,45,27,73,25,8,67,52,17,86,38,8,92,50,11,92,55,19,79,64,36,100,50,25,75,47,15,83,33,17,83,44,19,81,59,12,82,-1,-1,-1,40,0,80,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,11,75,37,11,84,43,15,70,52,7,78,18,9,73,36,14,71,23,4,67,21,5,79,18,3,63,30,4,67,27,9,73,9,0,55,28,5,60,0,0,60,31,8,69,33,7,53,-1,-1,-1,40,0,60,46,14,80,38,8,88,46,12,81,53,13,76,39,22,83,44,25,75,"FORESTBURG ISD",44,13,78,35,10,85,41,12,76,50,9,78,40,27,93,43,21,64,52,15,85,42,8,92,56,15,89,60,20,80,43,14,71,38,13,88,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.
"'169911",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,67,50,67,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,46,19,78,50,18,82,43,15,77,51,22,82,45,36,70,34,2,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,12,75,50,11,87,44,6,74,46,16,79,39,23,65,22,0,61,48,20,81,52,23,81,41,13,78,58,25,88,38,31,73,45,5,75,53,20,86,58,25,83,43,7,86,59,18,94,57,43,71,-1,-1,-1,60,0,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,18,76,49,14,84,44,16,77,46,19,78,52,41,67,24,0,67,30,8,62,33,3,70,30,6,64,29,9,64,30,19,48,17,0,50,34,14,75,27,18,91,39,11,67,42,21,79,0,0,50,-1,-1,-1,45,19,77,48,16,82,42,15,76,51,22,81,42,33,69,33,3,69,"SAINT JO ISD",46,18,78,47,14,79,42,13,77,50,22,85,46,35,70,38,4,69,48,20,79,56,24,88,44,17,79,54,22,78,44,38,69,27,0,73,14,0,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'170801",25,8,54,21,5,42,30,13,55,27,8,66,0,0,22,18,0,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,8,57,18,4,52,22,8,55,28,11,64,6,0,35,18,4,55,17,5,55,10,0,45,15,3,49,21,7,59,-1,-1,-1,18,7,68,23,8,57,19,4,52,24,8,54,28,11,65,6,0,31,14,2,53,26,8,61,19,0,46,23,5,59,35,15,71,0,0,36,23,3,57,26,10,58,23,7,57,28,11,57,31,15,69,7,0,36,17,0,38,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,20,7,48,8,8,31,27,12,51,20,4,60,0,0,0,13,0,33,18,8,52,17,8,58,21,11,50,18,6,54,17,0,33,12,4,52,18,6,53,5,3,43,20,6,53,24,9,60,0,0,21,11,4,50,4,2,33,0,0,20,5,0,37,5,5,37,-1,-1,-1,0,0,33,44,11,78,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"TEXAS SERENITY ACADEMY",27,9,57,21,4,57,24,6,49,36,17,67,9,0,45,25,5,55,19,7,57,14,5,45,21,9,58,22,7,62,0,0,17,14,3,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'170902",35,14,65,36,12,68,39,18,71,34,13,62,32,14,60,24,6,55,66,38,86,76,49,91,64,39,86,65,36,84,71,53,87,53,17,77,82,61,94,84,65,96,84,67,95,81,57,94,83,65,94,74,42,90,54,31,84,53,25,88,58,32,86,53,35,81,52,38,86,47,20,80,58,32,81,64,36,85,58,34,82,59,30,80,63,44,83,43,15,71,43,19,70,49,22,75,40,19,70,47,19,70,49,28,77,28,9,59,39,15,68,43,16,73,39,16,70,40,15,66,44,25,69,25,6,56,60,33,83,63,35,85,58,33,83,63,34,84,61,40,83,49,19,77,46,21,73,51,22,78,46,22,75,47,19,72,52,32,75,31,9,63,52,25,76,46,25,66,52,25,83,53,25,74,59,45,72,54,8,75,26,10,58,23,6,58,32,14,66,24,9,54,21,6,48,18,4,48,57,31,79,65,38,84,59,35,81,55,27,77,66,48,83,36,10,66,31,10,62,34,9,67,32,12,66,30,8,59,39,20,66,16,3,47,24,8,43,27,9,49,26,10,48,23,7,40,30,13,50,16,4,28,69,41,87,76,48,91,69,43,88,69,39,87,73,56,90,51,18,79,"CONROE ISD",60,34,82,66,39,86,60,35,83,61,32,81,66,47,84,44,15,73,53,28,77,57,29,82,53,30,78,54,27,76,55,36,78,38,13,68,54,30,77,58,35,83,58,34,81,52,29,76,62,43,82,37,8,64
"'170903",34,14,66,30,11,75,43,20,72,32,13,60,26,8,62,26,9,55,48,23,74,41,25,73,46,23,75,49,22,74,63,47,81,43,11,68,77,48,92,67,38,95,78,56,92,76,44,88,92,62,100,86,43,86,25,0,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,60,29,84,61,30,87,63,34,87,60,26,82,65,42,87,45,14,76,35,15,64,34,18,63,36,12,70,35,14,59,42,23,69,21,12,52,41,16,71,41,16,74,42,19,75,41,15,68,49,27,74,29,5,64,61,29,86,59,27,86,63,33,88,64,28,85,61,35,86,51,17,83,52,23,79,52,24,80,54,27,83,52,20,76,58,35,81,39,12,73,33,10,78,22,0,67,36,29,86,28,6,72,43,0,86,-1,-1,-1,23,8,52,20,7,64,31,11,59,19,8,45,21,5,53,12,5,37,59,30,83,64,33,88,64,35,87,56,24,80,68,47,89,40,11,70,33,10,63,32,8,70,28,10,65,31,6,57,57,27,81,19,4,45,27,11,50,25,10,56,31,12,54,25,10,47,41,23,65,19,5,33,64,31,87,65,32,90,67,37,89,64,28,85,67,44,90,47,14,78,"MONTGOMERY ISD",63,31,87,65,31,89,66,35,89,62,27,85,68,43,90,46,15,78,54,26,79,52,25,81,57,31,82,55,24,77,54,37,79,44,10,74,57,30,88,43,29,86,63,37,93,62,28,88,57,43,79,39,11,78
"'170904",21,6,54,19,2,55,23,9,61,23,7,52,23,6,55,10,2,35,37,12,65,40,9,79,35,8,69,39,15,62,44,34,66,18,0,39,77,43,95,83,33,100,80,53,100,78,43,91,50,50,100,80,20,80,8,0,31,-1,-1,-1,0,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,15,68,41,14,73,33,13,69,42,16,67,47,25,74,23,4,51,22,5,55,14,2,57,19,4,54,27,7,55,24,10,64,13,2,42,29,10,61,31,8,64,26,10,63,33,11,60,38,19,66,16,2,43,38,14,70,38,12,71,32,12,70,46,18,72,41,20,73,26,5,56,30,10,62,31,8,65,27,10,65,34,11,61,42,18,70,15,2,41,21,11,37,25,13,25,11,5,42,32,14,41,25,25,50,0,0,0,17,5,48,14,1,49,22,9,57,17,5,46,16,3,49,6,2,27,38,15,66,43,16,74,34,14,68,39,14,62,52,29,75,21,4,47,21,6,51,20,4,56,19,6,54,22,5,49,33,14,61,7,2,28,20,5,35,20,5,42,19,7,38,20,4,31,23,8,42,16,1,21,46,19,74,51,21,80,40,16,74,51,21,74,55,31,80,31,6,61,"WILLIS ISD",39,15,69,42,15,74,34,13,70,43,16,68,48,26,75,25,5,54,36,14,65,38,12,70,32,12,66,41,16,66,44,23,72,21,2,46,36,13,64,40,12,64,37,14,72,36,16,64,44,11,78,30,4,37
