,year,zipcode,DISTRICT,distname,area,median_ppsf,graduate_rate,Average 4yr Graduation Rate,grad_rate_change,Year-over-year change%,Rolling 4-yr Change%,Average 4yr PPSF,home_price_change_1_lag,home_price_change_2_lag,home_price_change_3_lag,scale_median_ppsf,scale_graduate_rate
7107,2021,77968,120905.0,INDUSTRIAL ISD,1818.133025536261,201.6062602965404,98.8,99.1,-0.3018108651911544,24.672364488662947,37.44678604199194,165.251883456963,12.14898296156064,0.22554579286613308,3.546294647832071,1.2729563462353701,0.5777405277872689
7109,2015,77979,29901.0,CALHOUN COUNTY ISD,1840.149330587024,83.68886015944838,95.1,,,-4.477297051475504,75.50645065044704,78.07947192329384,,,,-0.6124010962302073,0.3080154057906837
7110,2016,77979,29901.0,CALHOUN COUNTY ISD,778.5699999999999,72.5689404934688,95.2,,,-13.28721605813884,-22.2475637569977,84.30065516376902,7.967757833437883,,,-0.790195240923864,0.3153052739527542
7111,2017,77979,29901.0,CALHOUN COUNTY ISD,1846.0,72.58938244853738,95.2,,,0.02816901408448924,-17.14627247117978,79.11466744257004,-6.151776295361266,1.325822900407414,,-0.789868398642044,0.3153052739527542
7112,2018,77979,29901.0,CALHOUN COUNTY ISD,1719.0191717596206,114.89487915241143,93.6,94.775,,58.280557399516056,37.288139584536964,85.9355155634665,8.621471013384173,1.9393211079100858,10.061599350839012,-0.11345437513812558,0.1986673833596357
7113,2019,77979,29901.0,CALHOUN COUNTY ISD,1439.312,98.65824782951854,95.8,94.94999999999999,0.1846478501714488,-14.131727578001563,35.95106550907654,89.67786248098405,4.354831518702751,13.351753069153594,6.378606793468977,-0.3730585868116883,0.359044482925173
7114,2020,77979,29901.0,CALHOUN COUNTY ISD,1691.9261213720315,121.16368286445012,97.1,95.425,0.5002632964718368,22.811508951406644,66.91653624460815,101.82654807372937,13.547028504745429,18.491810290620503,28.707547368060492,-0.013223741490274086,0.453812769032081
7115,2021,77979,29901.0,CALHOUN COUNTY ISD,1531.51654676259,122.10119465917076,96.7,95.80000000000001,0.39297877914594714,0.7737564363815785,6.272094596313504,114.20450112638771,12.15591934207163,27.349713705101376,32.895579176508875,0.0017659448284612614,0.42465329638380217
7116,2015,77982,29901.0,CALHOUN COUNTY ISD,1375.0,170.83636363636364,95.1,,,-12.645672727272729,,,,,,0.780982696844226,0.3080154057906837
7117,2016,77982,29901.0,CALHOUN COUNTY ISD,1584.9999999999998,242.9022082018928,95.2,,,42.18413634636124,249.77917981072562,169.687540250597,,,,1.9332288983481951,0.3153052739527542
7118,2017,77982,29901.0,CALHOUN COUNTY ISD,1052.0,499.0494296577946,95.2,,,105.45281714483225,155.18060836501894,277.08878655393454,63.29353713580019,,,6.028714974002038,0.3153052739527542
7119,2018,77982,29901.0,CALHOUN COUNTY ISD,1859.2405063291133,182.8703703703704,93.6,94.775,,-63.356261022927676,7.044171672737032,273.91459296660537,-1.1455510801449686,61.42292625733412,,0.9733919946430476,0.1986673833596357
7120,2019,77982,29901.0,CALHOUN COUNTY ISD,1180.082200114762,185.3260730301089,95.8,94.94999999999999,0.1846478501714488,1.3428652519076323,-23.703421882409735,277.5370203150417,1.3224659954053308,0.16176539176546711,63.5576895658756,1.0126557273969727,0.359044482925173
7121,2020,77982,29901.0,CALHOUN COUNTY ISD,1229.0832984025362,202.1832046070273,97.1,95.425,0.5002632964718368,9.095930918570616,-59.486336905410894,267.35726941632527,-3.6678893818060887,-2.3939299762242072,-3.5120573656686305,1.2821809920331917,0.453812769032081
7122,2021,77982,29901.0,CALHOUN COUNTY ISD,1301.488695652174,290.0524616626311,96.7,95.80000000000001,0.39297877914594714,43.46021581089814,58.61096637754002,215.10802741753443,-19.54285444074797,-22.493933539620038,-21.46894216630525,2.6871047569830617,0.42465329638380217
7123,2015,77983,29901.0,CALHOUN COUNTY ISD,887.9049937226166,67.2932356754669,95.1,,,-14.174350887444875,36.11009178132174,61.92222689242635,,,,-0.8745474173737126,0.3080154057906837
7124,2017,77983,29901.0,CALHOUN COUNTY ISD,1448.0000000000002,72.51381215469613,95.2,,,7.757951340616676,37.994151306586254,67.69060530423471,9.31552158456672,,,-0.7910766767736621,0.3153052739527542
7125,2018,77983,29901.0,CALHOUN COUNTY ISD,1479.7533695266775,157.45867169373548,93.6,,,117.14300629764666,100.82245371123318,93.91815627957602,38.74622018441387,51.67115427346343,,0.5670894882276627,0.1986673833596357
